key,policy_index,batch_size_for_policy,point_index,policy_json,label,benchmark,dataset,ce_nll,num_samples,real_samples,fake_samples,acc,real_acc,fake_acc,bal_acc,auc,ap,runtime_dtype,effective_dense_runtime,replaced_linear_count,skipped_linear_count,backend_counts,runtime_skipped,sample_limit,batch_size,calib_samples
policy_000,0,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_000_dense_bf16_baseline.json,dense_bf16_baseline,GenImage,Midjourney,0.0530386452,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,0,0,{'dense_bf16': 224},[],192,16,64
policy_020,20,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_020_random_count_157_seed_23.json,random_count_157_seed_23,GenImage,Midjourney,0.0874331314,192,96,96,0.98958333,1.00000000,0.97916667,0.98958333,0.99913194,0.99916246,bfloat16,bf16_for_unreplaced_layers,157,0,"{'dense_bf16': 67, 'sparse_bf16': 157}",[],192,16,64
policy_000,0,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_000_dense_bf16_baseline.json,dense_bf16_baseline,GenImage,stable_diffusion_v_1_4,0.0535190611,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,0,0,{'dense_bf16': 224},[],192,16,64
policy_020,20,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_020_random_count_157_seed_23.json,random_count_157_seed_23,GenImage,stable_diffusion_v_1_4,0.0817133669,192,96,96,0.97916667,0.95833333,1.00000000,0.97916667,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,157,0,"{'dense_bf16': 67, 'sparse_bf16': 157}",[],192,16,64
policy_030,30,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_030_layer_24_31.json,layer_24_31,GenImage,Midjourney,0.0500302603,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,56,0,"{'dense_bf16': 168, 'sparse_bf16': 56}",[],192,16,64
policy_000,0,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_000_dense_bf16_baseline.json,dense_bf16_baseline,GenImage,stable_diffusion_v_1_5,0.0543055239,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,0,0,{'dense_bf16': 224},[],192,16,64
policy_020,20,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_020_random_count_157_seed_23.json,random_count_157_seed_23,GenImage,stable_diffusion_v_1_5,0.0663292781,192,96,96,0.99479167,0.98958333,1.00000000,0.99479167,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,157,0,"{'dense_bf16': 67, 'sparse_bf16': 157}",[],192,16,64
policy_030,30,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_030_layer_24_31.json,layer_24_31,GenImage,stable_diffusion_v_1_4,0.0541111163,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,56,0,"{'dense_bf16': 168, 'sparse_bf16': 56}",[],192,16,64
policy_020,20,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_020_random_count_157_seed_23.json,random_count_157_seed_23,GenImage,ADM,0.0900051147,192,96,96,0.98437500,0.96875000,1.00000000,0.98437500,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,157,0,"{'dense_bf16': 67, 'sparse_bf16': 157}",[],192,16,64
policy_005,5,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_005_random_count_45_seed_23.json,random_count_45_seed_23,GenImage,Midjourney,0.0571851764,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,45,0,"{'dense_bf16': 179, 'sparse_bf16': 45}",[],192,16,64
policy_000,0,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_000_dense_bf16_baseline.json,dense_bf16_baseline,GenImage,ADM,0.0824306911,192,96,96,0.98958333,1.00000000,0.97916667,0.98958333,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,0,0,{'dense_bf16': 224},[],192,16,64
policy_020,20,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_020_random_count_157_seed_23.json,random_count_157_seed_23,GenImage,glide,0.0739929024,192,96,96,0.99479167,0.98958333,1.00000000,0.99479167,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,157,0,"{'dense_bf16': 67, 'sparse_bf16': 157}",[],192,16,64
