batch_size,label,source_label,forward_mean_ms,speedup_vs_uncompressed_amp,images_per_sec,backend_counts
1,dense_default_amp,dense_default_amp,39.917318,1.000000,25.051783,{'dense_default': 224}
1,uniform_dense_bf16,uniform_dense_bf16,26.994982,1.478694,37.043921,{'dense_bf16': 224}
1,uniform_dense_nvfp4,uniform_dense_nvfp4,69.692869,0.572760,14.348670,{'dense_nvfp4': 224}
1,uniform_sparse_bf16,uniform_sparse_bf16,46.088165,0.866108,21.697544,{'sparse_bf16': 224}
1,uniform_sparse_nvfp4,uniform_sparse_nvfp4,83.473548,0.478203,11.979843,{'sparse_nvfp4': 224}
1,ours_best,ours_gate_up_sparse_bf16_64,34.240256,1.165801,29.205390,"{'dense_bf16': 160, 'sparse_bf16': 64}"
2,dense_default_amp,dense_default_amp,40.380678,1.000000,49.528638,{'dense_default': 224}
2,uniform_dense_bf16,uniform_dense_bf16,29.062417,1.389447,68.817400,{'dense_bf16': 224}
2,uniform_dense_nvfp4,uniform_dense_nvfp4,64.346772,0.627548,31.081590,{'dense_nvfp4': 224}
2,uniform_sparse_bf16,uniform_sparse_bf16,50.032205,0.807094,39.974252,{'sparse_bf16': 224}
2,uniform_sparse_nvfp4,uniform_sparse_nvfp4,83.472468,0.483760,23.959996,{'sparse_nvfp4': 224}
2,ours_best,ours_gate_up_sparse_bf16_64,35.979605,1.122321,55.587048,"{'dense_bf16': 160, 'sparse_bf16': 64}"
4,dense_default_amp,dense_default_amp,38.906278,1.000000,102.811170,{'dense_default': 224}
4,uniform_dense_bf16,uniform_dense_bf16,29.033269,1.340058,137.772980,{'dense_bf16': 224}
4,uniform_dense_nvfp4,uniform_dense_nvfp4,76.150219,0.510915,52.527754,{'dense_nvfp4': 224}
4,uniform_sparse_bf16,uniform_sparse_bf16,43.988778,0.884459,90.932284,{'sparse_bf16': 224}
4,uniform_sparse_nvfp4,uniform_sparse_nvfp4,80.990960,0.480378,49.388228,{'sparse_nvfp4': 224}
4,ours_best,ours_gate_up_sparse_bf16_64,38.202534,1.018421,104.705095,"{'dense_bf16': 160, 'sparse_bf16': 64}"
8,dense_default_amp,dense_default_amp,40.318295,1.000000,198.421091,{'dense_default': 224}
8,uniform_dense_bf16,uniform_dense_bf16,29.852448,1.350586,267.984723,{'dense_bf16': 224}
8,uniform_dense_nvfp4,uniform_dense_nvfp4,82.923251,0.486212,96.474751,{'dense_nvfp4': 224}
8,uniform_sparse_bf16,uniform_sparse_bf16,40.000182,1.007953,199.999088,{'sparse_bf16': 224}
8,uniform_sparse_nvfp4,uniform_sparse_nvfp4,86.434140,0.466463,92.556020,{'sparse_nvfp4': 224}
8,ours_best,ours_gate_up_sparse_bf16_64,35.558426,1.133861,224.981838,"{'dense_bf16': 160, 'sparse_bf16': 64}"
16,dense_default_amp,dense_default_amp,56.014428,1.000000,285.640694,{'dense_default': 224}
16,uniform_dense_bf16,uniform_dense_bf16,51.751114,1.082381,309.172090,{'dense_bf16': 224}
16,uniform_dense_nvfp4,uniform_dense_nvfp4,86.207105,0.649766,185.599551,{'dense_nvfp4': 224}
16,uniform_sparse_bf16,uniform_sparse_bf16,45.388106,1.234121,352.515264,{'sparse_bf16': 224}
16,uniform_sparse_nvfp4,uniform_sparse_nvfp4,91.896687,0.609537,174.108562,{'sparse_nvfp4': 224}
16,ours_best,ours_mlp_sparse_bf16_96,43.075621,1.300374,371.439799,"{'dense_bf16': 128, 'sparse_bf16': 96}"
32,dense_default_amp,dense_default_amp,103.917916,1.000000,307.935350,{'dense_default': 224}
32,uniform_dense_bf16,uniform_dense_bf16,94.319325,1.101767,339.272997,{'dense_bf16': 224}
32,uniform_dense_nvfp4,uniform_dense_nvfp4,119.373819,0.870525,268.065480,{'dense_nvfp4': 224}
32,uniform_sparse_bf16,uniform_sparse_bf16,71.935447,1.444600,444.843280,{'sparse_bf16': 224}
32,uniform_sparse_nvfp4,uniform_sparse_nvfp4,117.137583,0.887144,273.183032,{'sparse_nvfp4': 224}
32,ours_best,ours_extreme_fastest_microbench,74.276848,1.399062,430.820652,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}"
