batch_size,label,source_label,forward_mean_ms,speedup_vs_uncompressed_amp,images_per_sec,backend_counts
1,dense_default_amp,dense_default_amp,37.509259,1.000000,26.660084,{'dense_default': 224}
1,uniform_dense_bf16,uniform_dense_bf16,29.833450,1.257289,33.519422,{'dense_bf16': 224}
1,uniform_dense_nvfp4,uniform_dense_nvfp4,67.037020,0.559531,14.917131,{'dense_nvfp4': 224}
1,uniform_sparse_bf16,uniform_sparse_bf16,39.725581,0.944209,25.172697,{'sparse_bf16': 224}
1,uniform_sparse_nvfp4,uniform_sparse_nvfp4,80.682599,0.464899,12.394246,{'sparse_nvfp4': 224}
1,ours_best,ours_gate_up_sparse_bf16_64,35.037019,1.070561,28.541241,"{'dense_bf16': 160, 'sparse_bf16': 64}"
2,dense_default_amp,dense_default_amp,39.116587,1.000000,51.129205,{'dense_default': 224}
2,uniform_dense_bf16,uniform_dense_bf16,27.137080,1.441444,73.699897,{'dense_bf16': 224}
2,uniform_dense_nvfp4,uniform_dense_nvfp4,67.535730,0.579198,29.613954,{'dense_nvfp4': 224}
2,uniform_sparse_bf16,uniform_sparse_bf16,45.740710,0.855181,43.724725,{'sparse_bf16': 224}
2,uniform_sparse_nvfp4,uniform_sparse_nvfp4,69.224828,0.565066,28.891368,{'sparse_nvfp4': 224}
2,ours_best,ours_mlp_sparse_bf16_96,37.373839,1.046630,53.513369,"{'dense_bf16': 128, 'sparse_bf16': 96}"
4,dense_default_amp,dense_default_amp,38.648285,1.000000,103.497478,{'dense_default': 224}
4,uniform_dense_bf16,uniform_dense_bf16,26.925611,1.435373,148.557445,{'dense_bf16': 224}
4,uniform_dense_nvfp4,uniform_dense_nvfp4,73.334681,0.527012,54.544452,{'dense_nvfp4': 224}
4,uniform_sparse_bf16,uniform_sparse_bf16,49.743191,0.776956,80.413016,{'sparse_bf16': 224}
4,uniform_sparse_nvfp4,uniform_sparse_nvfp4,72.385024,0.533927,55.260049,{'sparse_nvfp4': 224}
4,ours_best,ours_mlp_sparse_bf16_96,39.602832,0.975897,101.002877,"{'dense_bf16': 128, 'sparse_bf16': 96}"
8,dense_default_amp,dense_default_amp,41.996955,1.000000,190.490001,{'dense_default': 224}
8,uniform_dense_bf16,uniform_dense_bf16,29.424214,1.427292,271.884913,{'dense_bf16': 224}
8,uniform_dense_nvfp4,uniform_dense_nvfp4,75.497227,0.556271,105.964157,{'dense_nvfp4': 224}
8,uniform_sparse_bf16,uniform_sparse_bf16,39.148714,1.072754,204.348987,{'sparse_bf16': 224}
8,uniform_sparse_nvfp4,uniform_sparse_nvfp4,84.223614,0.498636,94.985238,{'sparse_nvfp4': 224}
8,ours_best,ours_mlp_sparse_bf16_96,35.979769,1.167238,222.347173,"{'dense_bf16': 128, 'sparse_bf16': 96}"
16,dense_default_amp,dense_default_amp,55.531902,1.000000,288.122671,{'dense_default': 224}
16,uniform_dense_bf16,uniform_dense_bf16,51.412927,1.080116,311.205781,{'dense_bf16': 224}
16,uniform_dense_nvfp4,uniform_dense_nvfp4,84.832167,0.654609,188.607702,{'dense_nvfp4': 224}
16,uniform_sparse_bf16,uniform_sparse_bf16,46.725152,1.188480,342.427994,{'sparse_bf16': 224}
16,uniform_sparse_nvfp4,uniform_sparse_nvfp4,84.203538,0.659496,190.015769,{'sparse_nvfp4': 224}
16,ours_best,ours_mlp_sparse_bf16_96,42.722665,1.299823,374.508469,"{'dense_bf16': 128, 'sparse_bf16': 96}"
32,dense_default_amp,dense_default_amp,102.905272,1.000000,310.965604,{'dense_default': 224}
32,uniform_dense_bf16,uniform_dense_bf16,92.392682,1.113782,346.347777,{'dense_bf16': 224}
32,uniform_dense_nvfp4,uniform_dense_nvfp4,119.333302,0.862335,268.156495,{'dense_nvfp4': 224}
32,uniform_sparse_bf16,uniform_sparse_bf16,71.703991,1.435140,446.279202,{'sparse_bf16': 224}
32,uniform_sparse_nvfp4,uniform_sparse_nvfp4,117.923932,0.872641,271.361372,{'sparse_nvfp4': 224}
32,ours_best,ours_extreme_fastest_microbench,73.991137,1.390778,432.484229,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}"
