batch_size,actual_batch_size,label,group,policy_json,forward_mean_ms,forward_p50_ms,forward_p90_ms,forward_min_ms,forward_max_ms,images_per_sec,runtime_dtype,warmup,iters,backend_counts,effective_dense_runtime,replaced_linear_count,skipped_linear_count
1,1,dense_default_amp,uncompressed,,40.483308,40.390993,40.530259,40.125248,44.252640,24.701538,float32+amp_bfloat16,100,50,{'dense_default': 224},default_amp,0,0
1,1,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,37.226800,37.185648,37.506283,36.865376,38.042049,26.862368,bfloat16,100,50,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
1,1,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,34.992162,34.577120,36.294555,34.157150,39.998753,28.577829,bfloat16,100,50,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
1,1,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,34.981738,34.931776,35.269072,34.533760,36.944897,28.586344,bfloat16,100,50,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
1,1,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,31.278465,31.016800,31.250042,30.888384,38.757088,31.970879,bfloat16,100,50,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
1,1,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,23.807308,23.808992,23.882756,23.660704,24.285856,42.003909,bfloat16,100,50,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
1,1,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,65.944500,65.788174,66.234811,65.404770,69.997475,15.164267,bfloat16,100,50,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
1,1,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,39.352183,39.303377,39.530477,39.060863,40.957569,25.411551,bfloat16,100,50,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
1,1,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,66.987849,67.018127,67.362426,66.342178,68.552353,14.928081,bfloat16,100,50,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
16,16,dense_default_amp,uncompressed,,56.252878,54.959776,55.324295,54.732193,96.843262,284.429891,float32+amp_bfloat16,100,50,{'dense_default': 224},default_amp,0,0
