batch_size,actual_batch_size,label,group,policy_json,forward_mean_ms,forward_p50_ms,forward_p90_ms,forward_min_ms,forward_max_ms,images_per_sec,runtime_dtype,warmup,iters,backend_counts,effective_dense_runtime,replaced_linear_count,skipped_linear_count
1,1,dense_default_amp,uncompressed,,34.950347,34.756081,35.758152,34.376545,37.172066,28.612019,float32+amp_bfloat16,100,50,{'dense_default': 224},default_amp,0,0
1,1,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,37.934507,37.893120,38.062967,37.645535,39.839870,26.361223,bfloat16,100,50,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
1,1,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,33.393190,33.117952,34.512072,32.844288,36.050369,29.946225,bfloat16,100,50,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
1,1,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,37.145803,37.101215,37.281761,36.839584,38.697536,26.920941,bfloat16,100,50,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
1,1,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,39.338183,39.102736,40.767446,38.805950,41.941151,25.420595,bfloat16,100,50,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
1,1,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,28.719600,28.510960,28.788140,28.384640,32.996414,34.819427,bfloat16,100,50,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
1,1,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,77.375018,76.620640,79.033447,75.730461,92.699875,12.924068,bfloat16,100,50,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
1,1,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,44.186391,43.946304,44.617349,43.591167,48.071423,22.631403,bfloat16,100,50,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
1,1,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,66.641461,66.452785,67.162357,66.129539,69.186211,15.005673,bfloat16,100,50,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
16,16,dense_default_amp,uncompressed,,55.117477,55.038433,55.375742,54.812927,55.816608,290.289048,float32+amp_bfloat16,100,50,{'dense_default': 224},default_amp,0,0
