batch_size,label,source_label,forward_mean_ms,speedup_vs_uncompressed_amp,images_per_sec,backend_counts
1,dense_default_amp,dense_default_amp,34.950347,1.000000,28.612019,{'dense_default': 224}
1,uniform_dense_bf16,uniform_dense_bf16,28.719600,1.216951,34.819427,{'dense_bf16': 224}
1,uniform_dense_nvfp4,uniform_dense_nvfp4,77.375018,0.451701,12.924068,{'dense_nvfp4': 224}
1,uniform_sparse_bf16,uniform_sparse_bf16,44.186391,0.790975,22.631403,{'sparse_bf16': 224}
1,uniform_sparse_nvfp4,uniform_sparse_nvfp4,66.641461,0.524453,15.005673,{'sparse_nvfp4': 224}
1,ours_best,ours_gate_up_sparse_bf16_64,33.393190,1.046631,29.946225,"{'dense_bf16': 160, 'sparse_bf16': 64}"
2,dense_default_amp,dense_default_amp,40.505454,1.000000,49.376067,{'dense_default': 224}
2,uniform_dense_bf16,uniform_dense_bf16,25.657644,1.578690,77.949479,{'dense_bf16': 224}
2,uniform_dense_nvfp4,uniform_dense_nvfp4,77.892088,0.520020,25.676549,{'dense_nvfp4': 224}
2,uniform_sparse_bf16,uniform_sparse_bf16,41.394545,0.978522,48.315544,{'sparse_bf16': 224}
2,uniform_sparse_nvfp4,uniform_sparse_nvfp4,69.232128,0.585067,28.888322,{'sparse_nvfp4': 224}
2,ours_best,ours_gate_up_sparse_bf16_64,31.380597,1.290780,63.733650,"{'dense_bf16': 160, 'sparse_bf16': 64}"
4,dense_default_amp,dense_default_amp,39.528835,1.000000,101.191953,{'dense_default': 224}
4,uniform_dense_bf16,uniform_dense_bf16,24.929092,1.585651,160.455103,{'dense_bf16': 224}
4,uniform_dense_nvfp4,uniform_dense_nvfp4,79.480954,0.497337,50.326522,{'dense_nvfp4': 224}
4,uniform_sparse_bf16,uniform_sparse_bf16,40.772593,0.969495,98.105116,{'sparse_bf16': 224}
4,uniform_sparse_nvfp4,uniform_sparse_nvfp4,70.374721,0.561691,56.838592,{'sparse_nvfp4': 224}
4,ours_best,ours_gate_up_sparse_bf16_64,31.728678,1.245839,126.068916,"{'dense_bf16': 160, 'sparse_bf16': 64}"
8,dense_default_amp,dense_default_amp,43.266041,1.000000,184.902518,{'dense_default': 224}
8,uniform_dense_bf16,uniform_dense_bf16,28.523062,1.516879,280.474798,{'dense_bf16': 224}
8,uniform_dense_nvfp4,uniform_dense_nvfp4,72.397006,0.597622,110.501807,{'dense_nvfp4': 224}
8,uniform_sparse_bf16,uniform_sparse_bf16,36.725689,1.178087,217.831173,{'sparse_bf16': 224}
8,uniform_sparse_nvfp4,uniform_sparse_nvfp4,74.943946,0.577312,106.746448,{'sparse_nvfp4': 224}
8,ours_best,ours_gate_up_sparse_bf16_64,26.106345,1.657300,306.438914,"{'dense_bf16': 160, 'sparse_bf16': 64}"
16,dense_default_amp,dense_default_amp,55.117477,1.000000,290.289048,{'dense_default': 224}
16,uniform_dense_bf16,uniform_dense_bf16,51.513129,1.069970,310.600432,{'dense_bf16': 224}
16,uniform_dense_nvfp4,uniform_dense_nvfp4,83.486204,0.660199,191.648432,{'dense_nvfp4': 224}
16,uniform_sparse_bf16,uniform_sparse_bf16,41.433752,1.330256,386.158613,{'sparse_bf16': 224}
16,uniform_sparse_nvfp4,uniform_sparse_nvfp4,78.398265,0.703045,204.086148,{'sparse_nvfp4': 224}
16,ours_best,ours_extreme_fastest_microbench,41.022149,1.343603,390.033204,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}"
32,dense_default_amp,dense_default_amp,102.892442,1.000000,311.004378,{'dense_default': 224}
32,uniform_dense_bf16,uniform_dense_bf16,92.437202,1.113106,346.180966,{'dense_bf16': 224}
32,uniform_dense_nvfp4,uniform_dense_nvfp4,115.043780,0.894376,278.154978,{'dense_nvfp4': 224}
32,uniform_sparse_bf16,uniform_sparse_bf16,71.867243,1.431702,445.265445,{'sparse_bf16': 224}
32,uniform_sparse_nvfp4,uniform_sparse_nvfp4,120.592009,0.853228,265.357549,{'sparse_nvfp4': 224}
32,ours_best,ours_extreme_fastest_microbench,73.915525,1.392027,432.926640,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}"
