phase,method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count
decode,sparse_bf16,0,down_proj,16,0.08465494595920137,0.00022392518954816865,41943040
decode,sparse_bf16,0,gate_up_proj,16,0.051066309876981526,0.002665899826659074,225443840
decode,sparse_bf16,0,o_proj,16,0.05561321161178565,6.9757494552114e-05,41943040
decode,sparse_bf16,0,qkv_proj,16,0.0076351814871668065,0.0090078984423324,125829120
decode,sparse_bf16,1,down_proj,16,0.09324197324832258,0.0012921290799567942,41943040
decode,sparse_bf16,1,gate_up_proj,16,0.052699997423168554,0.00790147663115762,225443840
decode,sparse_bf16,1,o_proj,16,0.08394575191170335,0.0006688629768177634,41943040
decode,sparse_bf16,1,qkv_proj,16,0.017132229145835273,0.02407050214630241,125829120
decode,sparse_bf16,2,down_proj,16,0.10423589657504466,0.004655583226121962,41943040
decode,sparse_bf16,2,gate_up_proj,16,0.06870911903025241,0.016858716469344705,225443840
decode,sparse_bf16,2,o_proj,16,0.08400995501957417,0.0012353104102658108,41943040
decode,sparse_bf16,2,qkv_proj,16,0.02383521955057442,0.03438686345083018,125829120
decode,sparse_bf16,3,down_proj,16,0.03741327743890152,0.012078370220842771,41943040
decode,sparse_bf16,3,gate_up_proj,16,0.05152942069512107,0.02943061515688896,225443840
decode,sparse_bf16,3,o_proj,16,0.06465235290993734,0.003214040771126747,41943040
decode,sparse_bf16,3,qkv_proj,16,0.03278430738882717,0.04993364562590917,125829120
