phase,method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count
decode,sparse_nvfp4,0,down_proj,16,0.15408833168627167,0.0004075870404150805,41943040
decode,sparse_nvfp4,0,gate_up_proj,16,0.09616053022952546,0.005020028693827551,225443840
decode,sparse_nvfp4,0,o_proj,16,0.10769440116206773,0.00013508465676821403,41943040
decode,sparse_nvfp4,0,qkv_proj,16,0.014944277323522116,0.01763108482104864,125829120
decode,sparse_nvfp4,1,down_proj,16,0.16832173137264003,0.0023325697249674702,41943040
decode,sparse_nvfp4,1,gate_up_proj,16,0.10007858199903565,0.01500509707040565,225443840
decode,sparse_nvfp4,1,o_proj,16,0.15819397147474168,0.0012604579536855454,41943040
decode,sparse_nvfp4,1,qkv_proj,16,0.033508689459425284,0.047079161426518114,125829120
decode,sparse_nvfp4,2,down_proj,16,0.1847067304797192,0.008249725712812506,41943040
decode,sparse_nvfp4,2,gate_up_proj,16,0.12818205933711713,0.03145121092106714,225443840
decode,sparse_nvfp4,2,o_proj,16,0.15827877778445887,0.0023273839615285397,41943040
decode,sparse_nvfp4,2,qkv_proj,16,0.045262436098374915,0.06529972196246187,125829120
decode,sparse_nvfp4,3,down_proj,16,0.06980848343257304,0.022536723996745424,41943040
decode,sparse_nvfp4,3,gate_up_proj,16,0.0984632269702495,0.05623648201310357,225443840
decode,sparse_nvfp4,3,o_proj,16,0.12844109006886945,0.006385148901608772,41943040
decode,sparse_nvfp4,3,qkv_proj,16,0.0632643540854756,0.09635768113657832,125829120
