phase,method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count
decode,w4a16_ours,0,down_proj,16,0.005947385494418145,1.573173792817073e-05,41943040
decode,w4a16_ours,0,gate_up_proj,16,0.003920786877789364,0.0002046833829005008,225443840
decode,w4a16_ours,0,o_proj,16,0.0050729871473678715,6.363215916493914e-06,41943040
decode,w4a16_ours,0,qkv_proj,16,0.0008302821333535489,0.000979557217900151,125829120
decode,w4a16_ours,1,down_proj,16,0.006611084322840217,9.161511716229142e-05,41943040
decode,w4a16_ours,1,gate_up_proj,16,0.003853061714178204,0.0005777016808657886,225443840
decode,w4a16_ours,1,o_proj,16,0.007873369362398719,6.273343378779828e-05,41943040
decode,w4a16_ours,1,qkv_proj,16,0.0014677562754942532,0.002062173595671387,125829120
decode,w4a16_ours,2,down_proj,16,0.006928197341732311,0.0003094404172770737,41943040
decode,w4a16_ours,2,gate_up_proj,16,0.004833802423562015,0.0011860391412060274,225443840
decode,w4a16_ours,2,o_proj,16,0.006311665118050056,9.280882991333784e-05,41943040
decode,w4a16_ours,2,qkv_proj,16,0.001873165362755805,0.0027023993386440753,125829120
decode,w4a16_ours,3,down_proj,16,0.004076581977778515,0.0013160693137251656,41943040
decode,w4a16_ours,3,gate_up_proj,16,0.003532441528121906,0.002017525634403492,225443840
decode,w4a16_ours,3,o_proj,16,0.00499279338404709,0.00024820506564537936,41943040
decode,w4a16_ours,3,qkv_proj,16,0.002338798814013629,0.003562214988536046,125829120
