method,scenario,phase,iteration,warmup,batch,input_seq,output_seq,elapsed_ms,generated_tokens
dense_bf16,prefill_decode,ttft,0,True,16,2048,1,2215.02629481256,16
dense_bf16,prefill_decode,ttft,1,False,16,2048,1,2101.6354709863663,16
dense_bf16,prefill_decode,ttft,2,False,16,2048,1,2106.84834420681,16
dense_bf16,prefill_decode,ttft,3,False,16,2048,1,2108.957080170512,16
dense_bf16,prefill_decode,ttft,4,False,16,2048,1,2114.1789741814137,16
dense_bf16,prefill_decode,ttft,5,False,16,2048,1,2115.6392078846693,16
dense_bf16,prefill_decode,ttft,6,False,16,2048,1,2113.470809534192,16
dense_bf16,prefill_decode,ttft,7,False,16,2048,1,2115.912701934576,16
dense_bf16,prefill_decode,ttft,8,False,16,2048,1,2120.0016271322966,16
dense_bf16,prefill_decode,ttft,9,False,16,2048,1,2118.254041299224,16
dense_bf16,prefill_decode,ttft,10,False,16,2048,1,2113.7241572141647,16
dense_bf16,prefill_decode,main,0,True,16,2048,80,5022.454245015979,1280
dense_bf16,prefill_decode,main,1,False,16,2048,80,4904.4892359524965,1280
dense_bf16,prefill_decode,main,2,False,16,2048,80,4906.126512214541,1280
dense_bf16,prefill_decode,main,3,False,16,2048,80,4901.934459805489,1280
dense_bf16,prefill_decode,main,4,False,16,2048,80,4861.307334154844,1280
dense_bf16,prefill_decode,main,5,False,16,2048,80,4855.278462171555,1280
dense_bf16,prefill_decode,main,6,False,16,2048,80,4853.088911622763,1280
dense_bf16,prefill_decode,main,7,False,16,2048,80,4858.473410829902,1280
dense_bf16,prefill_decode,main,8,False,16,2048,80,4861.978055909276,1280
dense_bf16,prefill_decode,main,9,False,16,2048,80,4849.384540691972,1280
dense_bf16,prefill_decode,main,10,False,16,2048,80,4856.651833280921,1280
dense_nvfp4,prefill_decode,ttft,0,True,16,2048,1,1269.1894508898258,16
dense_nvfp4,prefill_decode,ttft,1,False,16,2048,1,1160.2993067353964,16
dense_nvfp4,prefill_decode,ttft,2,False,16,2048,1,1167.4651224166155,16
dense_nvfp4,prefill_decode,ttft,3,False,16,2048,1,1154.5177809894085,16
dense_nvfp4,prefill_decode,ttft,4,False,16,2048,1,1157.5242839753628,16
dense_nvfp4,prefill_decode,ttft,5,False,16,2048,1,1159.319706261158,16
dense_nvfp4,prefill_decode,ttft,6,False,16,2048,1,1155.8379884809256,16
dense_nvfp4,prefill_decode,ttft,7,False,16,2048,1,1155.660992488265,16
dense_nvfp4,prefill_decode,ttft,8,False,16,2048,1,1161.08981333673,16
dense_nvfp4,prefill_decode,ttft,9,False,16,2048,1,1155.2315074950457,16
dense_nvfp4,prefill_decode,ttft,10,False,16,2048,1,1164.2881743609905,16
dense_nvfp4,prefill_decode,main,0,True,16,2048,80,4042.983219027519,1280
dense_nvfp4,prefill_decode,main,1,False,16,2048,80,4145.922224968672,1280
dense_nvfp4,prefill_decode,main,2,False,16,2048,80,3959.161402657628,1280
dense_nvfp4,prefill_decode,main,3,False,16,2048,80,4007.025968283415,1280
dense_nvfp4,prefill_decode,main,4,False,16,2048,80,4080.0966266542673,1280
dense_nvfp4,prefill_decode,main,5,False,16,2048,80,4068.4109553694725,1280
dense_nvfp4,prefill_decode,main,6,False,16,2048,80,3964.4097574055195,1280
dense_nvfp4,prefill_decode,main,7,False,16,2048,80,4139.267636463046,1280
dense_nvfp4,prefill_decode,main,8,False,16,2048,80,4111.013308167458,1280
dense_nvfp4,prefill_decode,main,9,False,16,2048,80,4103.831617161632,1280
dense_nvfp4,prefill_decode,main,10,False,16,2048,80,4211.73750422895,1280
sparse_bf16,prefill_decode,ttft,0,True,16,2048,1,1673.040371388197,16
sparse_bf16,prefill_decode,ttft,1,False,16,2048,1,1308.7792713195086,16
sparse_bf16,prefill_decode,ttft,2,False,16,2048,1,1309.5887824892998,16
sparse_bf16,prefill_decode,ttft,3,False,16,2048,1,1310.832044109702,16
sparse_bf16,prefill_decode,ttft,4,False,16,2048,1,1311.9256719946861,16
sparse_bf16,prefill_decode,ttft,5,False,16,2048,1,1311.5087375044823,16
sparse_bf16,prefill_decode,ttft,6,False,16,2048,1,1311.5992210805416,16
sparse_bf16,prefill_decode,ttft,7,False,16,2048,1,1313.2086116820574,16
sparse_bf16,prefill_decode,ttft,8,False,16,2048,1,1313.1753541529179,16
sparse_bf16,prefill_decode,ttft,9,False,16,2048,1,1314.739614725113,16
sparse_bf16,prefill_decode,ttft,10,False,16,2048,1,1314.5795706659555,16
sparse_bf16,prefill_decode,main,0,True,16,2048,80,3737.8397528082132,1280
sparse_bf16,prefill_decode,main,1,False,16,2048,80,3368.7783535569906,1280
sparse_bf16,prefill_decode,main,2,False,16,2048,80,3370.7447089254856,1280
sparse_bf16,prefill_decode,main,3,False,16,2048,80,3372.490432113409,1280
sparse_bf16,prefill_decode,main,4,False,16,2048,80,3370.54537050426,1280
sparse_bf16,prefill_decode,main,5,False,16,2048,80,3372.4229279905558,1280
sparse_bf16,prefill_decode,main,6,False,16,2048,80,3375.16719289124,1280
sparse_bf16,prefill_decode,main,7,False,16,2048,80,3374.6499363332987,1280
sparse_bf16,prefill_decode,main,8,False,16,2048,80,3353.85574772954,1280
sparse_bf16,prefill_decode,main,9,False,16,2048,80,3352.703573182225,1280
sparse_bf16,prefill_decode,main,10,False,16,2048,80,3352.4864446371794,1280
sparse_nvfp4,prefill_decode,ttft,0,True,16,2048,1,1143.1626863777637,16
sparse_nvfp4,prefill_decode,ttft,1,False,16,2048,1,1043.3593280613422,16
sparse_nvfp4,prefill_decode,ttft,2,False,16,2048,1,1045.2962908893824,16
sparse_nvfp4,prefill_decode,ttft,3,False,16,2048,1,1055.7954479008913,16
sparse_nvfp4,prefill_decode,ttft,4,False,16,2048,1,1042.4269884824753,16
sparse_nvfp4,prefill_decode,ttft,5,False,16,2048,1,1047.7110296487808,16
sparse_nvfp4,prefill_decode,ttft,6,False,16,2048,1,1040.2579847723246,16
sparse_nvfp4,prefill_decode,ttft,7,False,16,2048,1,1043.2195365428925,16
sparse_nvfp4,prefill_decode,ttft,8,False,16,2048,1,1044.4884281605482,16
sparse_nvfp4,prefill_decode,ttft,9,False,16,2048,1,1044.0661385655403,16
sparse_nvfp4,prefill_decode,ttft,10,False,16,2048,1,1043.7108520418406,16
sparse_nvfp4,prefill_decode,main,0,True,16,2048,80,4147.187944501638,1280
sparse_nvfp4,prefill_decode,main,1,False,16,2048,80,4088.9707300812006,1280
sparse_nvfp4,prefill_decode,main,2,False,16,2048,80,4099.595500156283,1280
sparse_nvfp4,prefill_decode,main,3,False,16,2048,80,4130.983451381326,1280
