point,measured_wikitext_delta_nll,e2e_median_ms,e2e_min_ms,e2e_max_ms,samples,unstable,speedup_vs_point0,pareto_kept
0,0.0,5150.02822317183,5107.194205746055,5168.778629973531,10,False,1.0,True
1,0.12883947885615354,5087.917628698051,5036.889826878905,5528.65169942379,10,False,1.0122074685571654,False
2,0.07263796002307954,5098.018475808203,5065.30256010592,5577.500881627202,10,False,1.0102019534865223,False
3,0.06690567741868181,4989.929265342653,4965.698702260852,5024.723082780838,10,False,1.0320844142904266,True
4,0.067488943348192,5064.934432506561,5011.024190112948,5110.246216878295,10,False,1.0168005710240078,False
5,0.18355844179874037,4868.260591290891,4830.880930647254,4911.873975768685,10,False,1.0578785023104575,True
6,0.38093695497684754,4853.200504556298,4795.524632558227,5816.245025023818,10,False,1.0611612313022845,True
7,0.6389830578079594,4419.4051353260875,4371.8836307525635,4703.189987689257,10,False,1.1653215909095045,True
8,0.7153882259337068,4368.5342175886035,4275.953896343708,5480.804489925504,10,False,1.17889158391773,True
9,1.092468112347206,4806.919523514807,3244.989275932312,7189.0175845474005,10,True,1.071378082778083,False
10,1.8187433870647935,3798.3163110911846,3697.9431323707104,4040.7378040254116,10,False,1.3558713391335027,True
11,2.1150963282576285,3004.9843937158585,2911.369629204273,3967.8221605718136,10,False,1.7138286088745658,True
