point,dataset,samples,e2e_median_ms,speedup_vs_dense,wikitext_delta_nll,rougeL_percent,bert_score_percent,sacre_bleu,empty_predictions
2,cnn_dm_1000,1000,5098.018475808203,1.0102019534865223,0.07263796002307954,23.623289157856924,87.17789520025254,,0
2,dsum,1500,5098.018475808203,1.0102019534865223,0.07263796002307954,21.759558629626994,87.17578317721684,,0
2,IWSLT,333,5098.018475808203,1.0102019534865223,0.07263796002307954,47.08681872536956,,19.56546084559108,0
7,cnn_dm_1000,1000,4419.4051353260875,1.1653215909095045,0.6389830578079594,23.648421647456807,87.16786515712738,,0
7,dsum,1500,4419.4051353260875,1.1653215909095045,0.6389830578079594,21.862508756190245,87.20012190739314,,0
7,IWSLT,333,4419.4051353260875,1.1653215909095045,0.6389830578079594,46.19828510916136,,19.256275453235446,0
9,cnn_dm_1000,1000,4806.919523514807,1.071378082778083,1.092468112347206,23.769612193523777,87.20122148990632,,0
9,dsum,1500,4806.919523514807,1.071378082778083,1.092468112347206,21.41893581957133,87.15614672899247,,0
9,IWSLT,333,4806.919523514807,1.071378082778083,1.092468112347206,44.42285028434664,,18.41879434601933,0
10,cnn_dm_1000,1000,3798.3163110911846,1.3558713391335027,1.8187433870647935,23.42440465064901,87.05458962321282,,0
10,dsum,1500,3798.3163110911846,1.3558713391335027,1.8187433870647935,21.30006028769962,87.13458147843679,,0
10,IWSLT,333,3798.3163110911846,1.3558713391335027,1.8187433870647935,43.47314422380866,,16.81567509740944,0
