point_index,quality_ratio,predicted_quality_cost,raw_predicted_linear_ms,raw_linear_speedup_vs_dense,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,policy_json
0,0.0,0.0,2970.739106775233,1.0,128,0,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_000.json
1,0.001,0.0212796704120172,2871.0211637249536,1.0347325698292318,124,4,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_001.json
2,0.0012451970847350332,0.024425904989803973,2846.091677962384,1.0437959991865364,123,5,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_002.json
3,0.0013894954943731374,0.029523819198319964,2821.1621921998144,1.0530196083688421,122,6,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_003.json
4,0.0017301957388458943,0.03478057565778465,2796.232706437245,1.0624076815696541,121,7,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_004.json
5,0.0019306977288832496,0.039928695723487485,2771.3032206746752,1.0719646571377364,120,8,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_005.json
6,0.0021544346900318843,0.045213804946716514,2746.3737349121056,1.0816951345736299,119,9,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_006.json
7,0.002404099183509972,0.0506239767304856,2721.444249149536,1.091603881910718,118,10,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_007.json
8,0.0026826957952797246,0.056635094657810935,2696.514763386967,1.1016958435057205,117,11,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_008.json
9,0.0029935772947204905,0.06186886113836702,2684.3023811296857,1.1067080697238738,116,12,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_009.json
10,0.0033404849835132443,0.06627935555070501,2671.585277624397,1.111976148265365,116,12,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_010.json
11,0.003727593720314938,0.0768635964407611,2646.655791861827,1.1224501183379896,115,13,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_011.json
12,0.004159562163071847,0.08441504952585961,2621.7263060992573,1.1331232783010272,114,14,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_012.json
13,0.004641588833612777,0.09300909310408552,2596.7968203366877,1.1440013648776963,113,15,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_013.json
14,0.005179474679231213,0.10543902731138238,2571.8673345741176,1.1550903372187995,112,16,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_014.json
15,0.005779692884153313,0.1137556971899707,2546.9378488115476,1.1663963877883552,111,17,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_015.json
16,0.00644946677103762,0.1265409167556253,2509.795980791697,1.1836576078339782,109,19,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_016.json
17,0.0071968567300115215,0.1406881931402096,2472.1493915238384,1.201682680246141,108,20,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_017.json
18,0.008030857221391512,0.15356339548396206,2435.007523503987,1.2200122907629976,106,22,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_018.json
19,0.00896150501946605,0.16970889214728646,2385.148551978848,1.2455153387869897,104,24,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_019.json
20,0.01,0.1906945422735764,2335.2895804537084,1.2721073787337616,102,26,0,0,0,artifacts/debug/036_llama2_prefill_decode_intermediate_points/prefill_decode/pareto/policies/point_020.json
