module_index,module_name,layer,module_type,prefill_method,decode_method,quality_cost,latency_ms,prefill_runtime,decode_runtime
0,model.layers.0.self_attn.qkv_proj,0,qkv_proj,dense_nvfp4,w4a16_ours,0.0035972667484274333,11.031743642368728,dense_nvfp4,w4a16_ours
1,model.layers.0.self_attn.o_proj,0,o_proj,dense_bf16,dense_bf16,0.0,8.109931276787584,dense_bf16,dense_bf16
2,model.layers.0.mlp.gate_up_proj,0,gate_up_proj,dense_nvfp4,w4a16_ours,0.006011117927325338,15.415742050364418,dense_nvfp4,w4a16_ours
3,model.layers.0.mlp.down_proj,0,down_proj,dense_nvfp4,w4a16_ours,0.005491171339885415,12.60191781879031,dense_nvfp4,w4a16_ours
4,model.layers.1.self_attn.qkv_proj,1,qkv_proj,dense_nvfp4,w4a16_ours,0.003702772458202131,11.031743642368728,dense_nvfp4,w4a16_ours
5,model.layers.1.self_attn.o_proj,1,o_proj,dense_bf16,dense_bf16,0.0,8.109931276787584,dense_bf16,dense_bf16
6,model.layers.1.mlp.gate_up_proj,1,gate_up_proj,dense_nvfp4,w4a16_ours,0.0073743051304973745,15.415742050364418,dense_nvfp4,w4a16_ours
7,model.layers.1.mlp.down_proj,1,down_proj,dense_nvfp4,w4a16_ours,0.00141184110129571,12.60191781879031,dense_nvfp4,w4a16_ours
8,model.layers.2.self_attn.qkv_proj,2,qkv_proj,dense_nvfp4,w4a16_ours,0.003901912220427202,11.031743642368728,dense_nvfp4,w4a16_ours
9,model.layers.2.self_attn.o_proj,2,o_proj,dense_bf16,dense_bf16,0.0,8.109931276787584,dense_bf16,dense_bf16
10,model.layers.2.mlp.gate_up_proj,2,gate_up_proj,dense_nvfp4,w4a16_ours,0.010437245838578024,15.415742050364418,dense_nvfp4,w4a16_ours
11,model.layers.2.mlp.down_proj,2,down_proj,dense_bf16,dense_bf16,0.0,21.136312097354516,dense_bf16,dense_bf16
12,model.layers.3.self_attn.qkv_proj,3,qkv_proj,dense_nvfp4,w4a16_ours,0.004540615329708672,11.031743642368728,dense_nvfp4,w4a16_ours
13,model.layers.3.self_attn.o_proj,3,o_proj,dense_bf16,dense_bf16,0.0,8.109931276787584,dense_bf16,dense_bf16
14,model.layers.3.mlp.gate_up_proj,3,gate_up_proj,dense_nvfp4,w4a16_ours,0.011732996909713985,15.415742050364418,dense_nvfp4,w4a16_ours
15,model.layers.3.mlp.down_proj,3,down_proj,dense_bf16,dense_bf16,0.0,21.136312097354516,dense_bf16,dense_bf16
16,model.layers.4.self_attn.qkv_proj,4,qkv_proj,dense_nvfp4,w4a16_ours,0.004697233718203336,11.031743642368728,dense_nvfp4,w4a16_ours
17,model.layers.4.self_attn.o_proj,4,o_proj,dense_bf16,dense_bf16,0.0,8.109931276787584,dense_bf16,dense_bf16
18,model.layers.4.mlp.gate_up_proj,4,gate_up_proj,dense_nvfp4,w4a16_ours,0.010595046288408244,15.415742050364418,dense_nvfp4,w4a16_ours
