point,dataset,requests,batch_wall_median_ms,batch_wall_mean_ms,batch_wall_p90_ms
34,cnn_dm_1000,1000,293.798450846225,461.48392296768725,361.6248591337353
34,dsum,1500,152.6948381215334,242.21363666901985,240.40843872353435
34,IWSLT,333,529.3813538737595,505.9741585663668,658.6219006218016
36,cnn_dm_1000,1000,335.10687365196645,343.4395412709564,425.29325261712074
36,dsum,1500,176.26468976959586,204.62756041189036,328.71462404727936
36,IWSLT,333,542.5129132345319,526.5169885826183,735.5735193006694
37,cnn_dm_1000,1000,337.49585738405585,356.5744463670999,493.0501676630229
37,dsum,1500,165.79514788463712,187.07796995838484,262.9066798835993
37,IWSLT,333,560.0670422427356,540.9054607208874,745.4305852763355
38,cnn_dm_1000,1000,305.6467219721526,310.566726943478,394.47495760396123
38,dsum,1500,158.15250994637609,176.00468753774962,243.44186251983047
38,IWSLT,333,454.9474851228297,444.87696100171803,616.4865214377642
