point,dataset,samples,screened_speedup_vs_dense,screened_e2e_median_ms,wikitext_delta_nll,rougeL_percent,sacre_bleu,empty_predictions
34,cnn_dm_1000,1000,1.4510981001765166,3549.055865034461,2.0181765325087686,23.751909556183858,,0
34,dsum,1500,1.4510981001765166,3549.055865034461,2.0181765325087686,21.70262104808348,,0
34,IWSLT,333,1.4510981001765166,3549.055865034461,2.0181765325087686,,18.304166072069968,0
36,cnn_dm_1000,1000,1.626724805925876,3165.8878037706017,2.049681560852694,23.8333589563156,,0
36,dsum,1500,1.626724805925876,3165.8878037706017,2.049681560852694,21.624596618023105,,0
36,IWSLT,333,1.626724805925876,3165.8878037706017,2.049681560852694,,18.948561581657515,0
37,cnn_dm_1000,1000,1.6594909048188005,3103.3783964812756,2.0839720566818336,23.84344563517821,,0
37,dsum,1500,1.6594909048188005,3103.3783964812756,2.0839720566818336,21.68470484442654,,0
37,IWSLT,333,1.6594909048188005,3103.3783964812756,2.0839720566818336,,18.63937995670613,0
38,cnn_dm_1000,1000,1.680271227768507,3064.998161047697,2.1093741002884854,23.754062024110944,,0
38,dsum,1500,1.680271227768507,3064.998161047697,2.1093741002884854,21.633494919296222,,0
38,IWSLT,333,1.680271227768507,3064.998161047697,2.1093741002884854,,19.029211002320928,0
