point_index,source,raw_linear_ms,e2e_median_ms,raw_dense_scaled_ms,strict_holdout_monotone_ms,all_point_loo_monotone_ms
0,034_heldout,1004.2719049031714,1111.7933504283428,1111.7933504283428,1111.6353683173656,1111.6353683173656
1,new_calibration,985.8366650178998,1111.6353683173656,1091.384358582681,1111.6353683173656,1103.1224597245455
3,new_calibration,967.4014251326282,1094.4515690207481,1070.975366737019,1094.4515690207481,1086.9201086461542
4,034_heldout,948.9661852473569,1062.2048489749432,1050.566374891357,1079.078459406701,1079.078459406701
6,new_calibration,860.8412192062199,1005.5912267416716,953.0063906152797,1005.5912267416716,985.8552202168906
8,034_heldout,750.2297798945904,890.0237809866667,830.5524395413074,898.0801805719796,898.0801805719796
9,new_calibration,641.0178847129945,791.9294498860836,709.6478734992229,791.9294498860836,795.0793050848814
11,new_calibration,486.026475377665,660.3359412401915,538.0624518308242,660.3359412401915,644.4984624888433
12,034_heldout,466.00184114523944,625.4506222903728,515.8938985977064,632.5845065444789,632.5845065444789
13,new_calibration,439.6047503115226,596.0017088800669,486.67062757290466,596.0017088800669,604.2463296169936
15,new_calibration,375.4861728196471,552.7410674840212,415.6872537013984,552.7410674840212,542.9202691399629
16,034_heldout,357.99210019841007,528.4375622868538,396.3201943251061,552.7410674840212,552.7410674840212
