point_index,quality_ratio,predicted_quality_cost,raw_predicted_linear_ms,raw_linear_speedup_vs_dense,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,policy_json
0,0.0,0.0,1004.2719049031714,1.0,128,0,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_000.json
1,0.001,0.0006744139183595603,985.8366650178998,1.0187000956035013,126,2,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_001.json
2,0.0011231045018329515,0.001016730459307363,981.3278224844414,1.0233806500672142,125,3,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_002.json
3,0.0014166432746690208,0.0012921617533927067,976.619045075264,1.0283148889706286,125,3,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_003.json
4,0.0017869024337358287,0.0016344782943405094,972.1102025418056,1.0330844201380374,124,4,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_004.json
5,0.0021268217472962102,0.001945365917610726,967.4014251326282,1.0381129061966063,124,4,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_005.json
6,0.002388643078984598,0.002287682458558529,962.8925825991698,1.0429739755521898,123,5,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_006.json
7,0.002682695795279727,0.0025500553478596064,958.1838051899924,1.048099435059895,123,5,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_007.json
8,0.003012947724726992,0.002892371888807409,953.674962656534,1.0530547033610862,122,6,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_008.json
9,0.003383855153428233,0.0031727969783212065,948.9661852473569,1.0582799687866629,122,6,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_009.json
10,0.0038004229563658857,0.003515113519269009,944.4573427138985,1.0633322009201556,121,7,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_010.json
11,0.004027559979850297,0.0037996978084071454,939.7485653047211,1.0686602161265637,121,7,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_011.json
12,0.004268272131163821,0.004142014349354948,935.2397227712627,1.0738122862525081,120,8,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_012.json
13,0.0047937156455582185,0.004416306092941572,930.5309453620853,1.0792461120273569,120,8,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_013.json
14,0.005080218046913023,0.004758622633889375,926.0221028286269,1.0845010090315583,119,9,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_014.json
15,0.005383843622033489,0.0050487613249096475,921.3133254194495,1.0900438289503227,119,9,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_015.json
16,0.0057056157587810205,0.00539107786585745,916.8044828859911,1.0954046622261742,118,10,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_016.json
17,0.006046619009070436,0.005666021297965578,912.0957054768137,1.101059788871795,118,10,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_017.json
18,0.006408002744415996,0.0062705249453283915,902.8780855341779,1.112300676019847,117,11,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_018.json
19,0.0067909850299557135,0.006612841486276194,898.3692430007195,1.1178832231040294,116,12,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_019.json
20,0.0071968567300115215,0.006891114162630691,893.6604655915421,1.1237734503992096,116,12,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_020.json
21,0.007626985859023444,0.007233430703578494,889.1516230580837,1.129472048253313,115,13,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_021.json
22,0.008082822192522715,0.007868705043416815,879.9340031154479,1.141303667488129,114,14,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_022.json
23,0.0085659021536855,0.007979837204467943,875.2252257062705,1.147443966886084,114,14,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_023.json
24,0.009077853991937558,0.00853611793793476,866.007605763635,1.1596571418303152,113,15,0,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_024.json
25,0.00962040327106476,0.00887906375599562,857.8835114999231,1.1706390103561997,111,16,1,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_025.json
26,0.010195378685327302,0.009436473574178527,852.2200247998538,1.178418572291853,109,17,2,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_026.json
27,0.01080471822318129,0.00987641571616675,845.050639827034,1.188416241077253,109,17,2,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_027.json
28,0.011450475699382817,0.010600637764015493,839.4482716146515,1.1963475759756905,109,18,1,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_028.json
29,0.012134827677491437,0.010915802342065427,833.7847849145822,1.2044737719770875,107,19,2,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_029.json
30,0.012860080806105664,0.011484285677488461,826.6153999417625,1.214920390999158,107,19,2,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_030.json
31,0.01362867959355774,0.012358949731344205,817.3977799991267,1.2286207884051805,106,20,2,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_031.json
32,0.014443214647272811,0.013083171779192949,811.7954117867441,1.2370997548419136,106,21,1,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_032.json
33,0.015306431405563587,0.013949017308737965,802.5777918441083,1.2513078671110798,105,22,1,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_033.json
34,0.01622123939129173,0.014773426685303523,793.3601719014725,1.2658461320237437,104,23,1,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_034.json
35,0.017190722018585746,0.01554677894403266,784.1425519588367,1.2807261924435014,103,24,1,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_035.json
36,0.018218146985669748,0.01630213223096281,774.924932016201,1.2959602451946606,102,25,1,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_036.json
37,0.019306977288832506,0.017013685933063197,762.0920603433119,1.3177829256622366,100,26,2,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_037.json
38,0.02046088289466012,0.018026419751037404,752.8744404006761,1.3339168538763286,99,27,2,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_038.json
39,0.021683753109874353,0.019000439152164927,741.6085854882243,1.3541805267020035,97,29,2,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_039.json
40,0.022979709690469627,0.020170630799970224,725.221580572769,1.3847793995733175,96,30,2,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_040.json
41,0.024353120734334148,0.02104564167263989,713.9557256603171,1.406630507759216,94,32,2,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_041.json
42,0.025808615404180755,0.022421175092334576,697.5687207448616,1.439674508098375,93,33,2,0,0,artifacts/debug/037_llama2_prefill_only_pareto/refined_solver/prefill_only/pareto/policies/point_042.json
