family,label,point_index,nll_source,raw_delta_nll,delta_nll_for_pareto,e2e_median_ms,speed_samples,speedup_vs_dense,pareto_kept
ours,ours_0,0,034_existing,0.0,0.0,1111.7933504283428,5,0.9709860741228306,False
ours,ours_1,1,037_new,-0.00027422466566928705,0.0,1111.6353683173656,5,0.9711240675999107,False
ours,ours_3,3,037_new,0.00035700467719523843,0.00035700467719523843,1094.4515690207481,5,0.9863715226194898,False
ours,ours_4,4,034_existing,0.0011138477707470784,0.0011138477707470784,1062.2048489749432,5,1.0163160727519431,True
ours,ours_6,6,037_new,0.0015633742309630883,0.0015633742309630883,1005.5912267416716,5,1.073533491403072,True
ours,ours_8,8,034_existing,0.004746284578041049,0.004746284578041049,890.0237809866667,5,1.2129292313645015,True
ours,ours_9,9,037_new,0.011324487340467648,0.011324487340467648,791.9294498860836,5,1.3631717581958502,True
ours,ours_11,11,037_new,0.026731436486703064,0.026731436486703064,660.3359412401915,5,1.6348282641420138,False
ours,ours_12,12,034_existing,0.0856566035089461,0.0856566035089461,625.4506222903728,5,1.7260129290703587,False
ours,ours_13,13,037_new,0.12555953166982192,0.12555953166982192,596.0017088800669,5,1.8112965860396877,False
ours,ours_15,15,037_new,0.5355083026895304,0.5355083026895304,552.7410674840212,5,1.9530588987754063,True
ours,ours_16,16,034_existing,0.7359286384228443,0.7359286384228443,528.4375622868538,5,2.0428825231433425,True
uniform,dense_bf16,,033_uniform,0.0,0.0,1079.535860568285,baseline,1.0,True
uniform,dense_nvfp4,,033_uniform,0.026002029694751627,0.026002029694751627,578.1633891165257,baseline,1.8671812862759984,True
uniform,sparse_bf16,,033_uniform,0.37084491858321655,0.37084491858321655,660.948358476162,baseline,1.6333134755901206,False
uniform,sparse_nvfp4,,033_uniform,1.006823069726658,1.006823069726658,520.6317435950041,baseline,2.0735114096462945,True
uniform,marlin_nvfp4,,033_uniform,0.026002029694751627,0.026002029694751627,1034.9917970597744,baseline,1.0430380836206163,False
