method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count
dense_nvfp4,0,down_proj,16,0.0016930607351708215,9.305546682103483e-06,1073741824
dense_nvfp4,0,gate_up_proj,16,0.00327143974786075,0.00019388743766869863,7516192768
dense_nvfp4,0,o_proj,16,0.0072468099461385225,4.074613935367566e-06,1073741824
dense_nvfp4,0,qkv_proj,16,0.0006006969081662004,0.0011654338629950207,1610612736
dense_nvfp4,1,down_proj,16,0.006921331596794126,2.683843922568485e-05,1073741824
dense_nvfp4,1,gate_up_proj,16,0.0025911017130042127,0.00039604384547991297,7516192768
dense_nvfp4,1,o_proj,16,0.013515028151045364,2.7955148922842454e-05,1073741824
dense_nvfp4,1,qkv_proj,16,0.001128367375508243,0.0020181522277577337,1610612736
dense_nvfp4,2,down_proj,16,0.006781500996967077,5.821575481945729e-05,1073741824
dense_nvfp4,2,gate_up_proj,16,0.003521962310467752,0.0006883011554756584,7516192768
dense_nvfp4,2,o_proj,16,0.008840817643398013,1.7040091783826483e-05,1073741824
dense_nvfp4,2,qkv_proj,16,0.001316918522143791,0.002380800875243949,1610612736
dense_nvfp4,3,down_proj,16,0.003386697327925567,0.0004889851784923849,1073741824
dense_nvfp4,3,gate_up_proj,16,0.002613562997112923,0.001188556918350514,7516192768
dense_nvfp4,3,o_proj,16,0.005249409879243877,0.00010098623749854596,1073741824
dense_nvfp4,3,qkv_proj,16,0.0012110572864635725,0.0023791102821633103,1610612736
