policy_id,scenario,sample_count,tokens,dense_prefill_nll,prefill_nll,delta_prefill_nll,target_delta_nll,split,policy_kind
p00,prefill_only,100,204800,1.983379703760147,1.983379703760147,0.0,0.0,train,controlled
p01,prefill_only,100,204800,1.983379703760147,2.020331233739853,0.036951529979705855,0.036951529979705855,train,controlled
p02,prefill_only,100,204800,1.983379703760147,2.667338423728943,0.683958719968796,0.683958719968796,train,controlled
p03,prefill_only,100,204800,1.983379703760147,3.437086203098297,1.45370649933815,1.45370649933815,train,controlled
p04,prefill_only,100,204800,1.983379703760147,2.020331233739853,0.036951529979705855,0.036951529979705855,train,controlled
p05,prefill_only,100,204800,1.983379703760147,1.986006999015808,0.0026272952556609663,0.0026272952556609663,train,controlled
p06,prefill_only,100,204800,1.983379703760147,1.9885515820980073,0.005171878337860258,0.005171878337860258,train,controlled
p07,prefill_only,100,204800,1.983379703760147,2.1373782086372377,0.15399850487709066,0.15399850487709066,train,controlled
p08,prefill_only,100,204800,1.983379703760147,1.9893187189102173,0.005939015150070226,0.005939015150070226,train,controlled
p09,prefill_only,100,204800,1.983379703760147,1.985467345714569,0.002087641954422015,0.002087641954422015,train,controlled
p10,prefill_only,100,204800,1.983379703760147,1.9972326529026032,0.013852949142456161,0.013852949142456161,train,controlled
p11,prefill_only,100,204800,1.983379703760147,2.054364538192749,0.07098483443260206,0.07098483443260206,train,controlled
p12,prefill_only,100,204800,1.983379703760147,1.9856582844257356,0.0022785806655885033,0.0022785806655885033,train,controlled
p13,prefill_only,100,204800,1.983379703760147,1.9843309557437896,0.0009512519836425426,0.0009512519836425426,train,controlled
p14,prefill_only,100,204800,1.983379703760147,1.9903121995925903,0.006932495832443264,0.006932495832443264,train,controlled
p15,prefill_only,100,204800,1.983379703760147,2.116041439771652,0.132661736011505,0.132661736011505,train,controlled
p16,prefill_only,100,204800,1.983379703760147,1.986252145767212,0.002872442007064935,0.002872442007064935,train,controlled
p17,prefill_only,100,204800,1.983379703760147,1.984545282125473,0.0011655783653259366,0.0011655783653259366,train,controlled
p18,prefill_only,100,204800,1.983379703760147,1.988319742679596,0.004940038919448941,0.004940038919448941,train,controlled
p19,prefill_only,100,204800,1.983379703760147,2.172757328748703,0.18937762498855615,0.18937762498855615,train,controlled
p20,prefill_only,100,204800,1.983379703760147,1.9872674942016602,0.003887790441513106,0.003887790441513106,train,controlled
p21,prefill_only,100,204800,1.983379703760147,1.9917271721363068,0.008347468376159739,0.008347468376159739,train,controlled
p22,prefill_only,100,204800,1.983379703760147,2.2048682057857514,0.22148850202560433,0.22148850202560433,train,controlled
p23,prefill_only,100,204800,1.983379703760147,2.5027472233772277,0.5193675196170806,0.5193675196170806,train,controlled
p24,prefill_only,100,204800,1.983379703760147,1.9917271721363068,0.008347468376159739,0.008347468376159739,train,controlled
p25,prefill_only,100,204800,1.983379703760147,1.9912864792346954,0.007906775474548322,0.007906775474548322,train,controlled
p26,prefill_only,100,204800,1.983379703760147,2.0794560825824737,0.09607637882232667,0.09607637882232667,train,controlled
p27,prefill_only,100,204800,1.983379703760147,2.232375158071518,0.24899545431137082,0.24899545431137082,train,controlled
p28,prefill_only,100,204800,1.983379703760147,1.9912864792346954,0.007906775474548322,0.007906775474548322,train,controlled
p29,prefill_only,100,204800,1.983379703760147,1.992758674621582,0.00937897086143491,0.00937897086143491,train,controlled
p30,prefill_only,100,204800,1.983379703760147,2.1257935428619383,0.14241383910179128,0.14241383910179128,train,controlled
p31,prefill_only,100,204800,1.983379703760147,2.2517175781726837,0.26833787441253665,0.26833787441253665,train,controlled
p32,prefill_only,100,204800,1.983379703760147,1.992758674621582,0.00937897086143491,0.00937897086143491,train,controlled
p33,prefill_only,100,204800,1.983379703760147,1.9937841165065766,0.010404412746429559,0.010404412746429559,train,controlled
p34,prefill_only,100,204800,1.983379703760147,2.1337060177326204,0.1503263139724733,0.1503263139724733,train,controlled
p35,prefill_only,100,204800,1.983379703760147,2.279766904115677,0.2963872003555299,0.2963872003555299,train,controlled
p36,prefill_only,100,204800,1.983379703760147,1.9937841165065766,0.010404412746429559,0.010404412746429559,train,controlled
p37,prefill_only,100,204800,1.983379703760147,2.0313127708435057,0.04793306708335865,0.04793306708335865,train,balanced_mixed
p38,prefill_only,100,204800,1.983379703760147,2.055214520692825,0.07183481693267812,0.07183481693267812,train,balanced_mixed
p39,prefill_only,100,204800,1.983379703760147,2.0882047486305235,0.10482504487037647,0.10482504487037647,train,balanced_mixed
p40,prefill_only,100,204800,1.983379703760147,2.2147396743297576,0.23135997056961055,0.23135997056961055,train,balanced_mixed
p41,prefill_only,100,204800,1.983379703760147,2.2669921243190765,0.28361242055892943,0.28361242055892943,train,balanced_mixed
p42,prefill_only,100,204800,1.983379703760147,2.031406759023666,0.048027055263519136,0.048027055263519136,train,balanced_mixed
p43,prefill_only,100,204800,1.983379703760147,2.0449670684337615,0.061587364673614475,0.061587364673614475,train,balanced_mixed
p44,prefill_only,100,204800,1.983379703760147,2.1806746983528136,0.19729499459266653,0.19729499459266653,train,balanced_mixed
p45,prefill_only,100,204800,1.983379703760147,2.2076211738586426,0.2242414700984956,0.2242414700984956,train,balanced_mixed
p46,prefill_only,100,204800,1.983379703760147,2.2896090579032897,0.3062293541431427,0.3062293541431427,train,balanced_mixed
p47,prefill_only,100,204800,1.983379703760147,2.043552168607712,0.06017246484756478,0.06017246484756478,train,balanced_mixed
p48,prefill_only,100,204800,1.983379703760147,2.11086399435997,0.12748429059982302,0.12748429059982302,train,balanced_mixed
p49,prefill_only,100,204800,1.983379703760147,2.151212062835693,0.16783235907554617,0.16783235907554617,train,balanced_mixed
p50,prefill_only,100,204800,1.983379703760147,2.136614443063736,0.1532347393035891,0.1532347393035891,train,balanced_mixed
p51,prefill_only,100,204800,1.983379703760147,2.264382481575012,0.28100277781486516,0.28100277781486516,train,balanced_mixed
p52,prefill_only,100,204800,1.983379703760147,2.021979787349701,0.03860008358955391,0.03860008358955391,train,balanced_mixed
p53,prefill_only,100,204800,1.983379703760147,2.0869671475887297,0.10358744382858265,0.10358744382858265,train,balanced_mixed
p54,prefill_only,100,204800,1.983379703760147,2.114858002662659,0.13147829890251184,0.13147829890251184,holdout,balanced_mixed
p55,prefill_only,100,204800,1.983379703760147,2.1790182161331177,0.1956385123729707,0.1956385123729707,holdout,balanced_mixed
p56,prefill_only,100,204800,1.983379703760147,2.2831736183166504,0.2997939145565034,0.2997939145565034,holdout,balanced_mixed
p57,prefill_only,100,204800,1.983379703760147,2.0334680247306824,0.050088320970535394,0.050088320970535394,holdout,balanced_mixed
p58,prefill_only,100,204800,1.983379703760147,2.047573137283325,0.06419343352317797,0.06419343352317797,holdout,balanced_mixed
p59,prefill_only,100,204800,1.983379703760147,2.122685738801956,0.13930603504180916,0.13930603504180916,holdout,balanced_mixed
p60,prefill_only,100,204800,1.983379703760147,2.2779535269737243,0.2945738232135773,0.2945738232135773,holdout,balanced_mixed
p61,prefill_only,100,204800,1.983379703760147,2.223397891521454,0.2400181877613068,0.2400181877613068,holdout,balanced_mixed
p62,prefill_only,100,204800,1.983379703760147,2.0412000751495363,0.057820371389389225,0.057820371389389225,holdout,balanced_mixed
p63,prefill_only,100,204800,1.983379703760147,2.0524717700481414,0.06909206628799436,0.06909206628799436,holdout,balanced_mixed
p64,prefill_only,100,204800,1.983379703760147,2.1088657009601595,0.1254859972000124,0.1254859972000124,holdout,balanced_mixed
p65,prefill_only,100,204800,1.983379703760147,2.140727562904358,0.1573478591442108,0.1573478591442108,holdout,balanced_mixed
p66,prefill_only,100,204800,1.983379703760147,2.342008720636368,0.35862901687622073,0.35862901687622073,holdout,balanced_mixed
p67,prefill_only,100,204800,1.983379703760147,2.0674933314323427,0.08411362767219566,0.08411362767219566,holdout,balanced_mixed
p68,prefill_only,100,204800,1.983379703760147,2.073981275558472,0.09060157179832484,0.09060157179832484,holdout,balanced_mixed
p69,prefill_only,100,204800,1.983379703760147,2.055430037975311,0.07205033421516416,0.07205033421516416,holdout,balanced_mixed
p70,prefill_only,100,204800,1.983379703760147,2.213709101676941,0.23032939791679374,0.23032939791679374,holdout,balanced_mixed
p71,prefill_only,100,204800,1.983379703760147,2.2133578670024874,0.22997816324234033,0.22997816324234033,holdout,balanced_mixed
