point_index,policy_id,quality_budget,predicted_delta_nll,raw_predicted_linear_ms,corrected_e2e_prediction_ms,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,count_w4a16_ours
0,point_000,0,0.0,1091.376545363557,1187.124164775014,128,0,0,0,0
1,point_001,0.01,0.0,1027.3484253982901,1138.843265673376,123,5,0,0,0
2,point_002,0.02,0.0,963.320305433023,1082.6358772204703,118,10,0,0,0
3,point_003,0.04,0.0,835.264065502489,974.7260084377084,108,20,0,0,0
4,point_004,0.06,0.0,707.207825571955,887.2915070918508,98,30,0,0,0
5,point_005,0.08,0.0,658.957354443719,854.3469517535983,88,40,0,0,0
6,point_006,0.12,0.0,602.3592965883962,815.702814080896,68,60,0,0,0
7,point_007,0.18,0.05009810233028904,541.1622115185021,773.9185432026569,54,50,24,0,0
8,point_008,0.25,0.08880984488534154,501.5148964463387,662.8270995720687,32,59,37,0,0
9,point_009,0.35,0.1756584401829025,482.6201342751373,645.2937096095214,24,51,53,0,0
10,point_010,0.5,0.32003550841453254,458.4985298653683,622.9100726625903,24,38,64,2,0
11,point_011,0.7,0.4822808996847305,433.3833444893881,618.4626184403896,0,49,71,8,0
12,point_012,1.0,0.7862983175888952,402.75626882010744,618.4626184403896,0,23,81,24,0
13,point_013,1.3,1.0483437812062342,380.32433098546716,618.4626184403896,0,0,96,32,0
