family,label,point_index,delta_nll,e2e_median_ms,speed_samples,nll_samples,speedup_vs_dense,pareto_kept
uniform,dense_bf16,,0.0,1187.124164775014,5,100,1.0,True
uniform,dense_nvfp4,,0.036951529979705855,687.1499121189117,5,100,1.7276057870899957,True
uniform,sparse_bf16,,0.683958719968796,766.0693563520908,5,100,1.5496301410983515,False
uniform,sparse_nvfp4,,1.45370649933815,618.4626184403896,5,100,1.919476019049702,False
uniform,marlin_nvfp4,,0.036951529979705855,1156.2783624976873,5,100,1.0266767962436798,False
ours,point_3,3,0.009230241775512793,969.6506038308144,5,100,1.2242803336428847,True
ours,point_5,5,0.014884743690490865,826.1113222688437,5,100,1.4370026566331031,True
ours,point_6,6,0.021403212547302486,760.7574313879013,5,100,1.5604503035997466,True
ours,point_7,7,0.12380433440208427,700.4424687474966,5,100,1.6948203710402971,False
ours,point_8,8,0.1520461344718933,663.9810800552368,5,100,1.7878885414570196,True
ours,point_9,9,0.19853438854217553,639.6167483180761,5,100,1.8559929331066654,True
ours,point_11,11,0.3545558619499205,583.413228392601,5,100,2.0347913057195077,True
ours,point_13,13,0.98085676074028,547.455171123147,5,100,2.1684408649196536,True
