policy_id,policy_json,raw_predicted_linear_ms,measured_delta_nll,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,count_w4a16_ours
p00,/root/wja/project/my/cospaq/fake/artifacts/debug/038_llama31_8b_instruct_prefill_only_pareto/policies/prefill_only/p00.json,1091.376545363557,0.0,128,0,0,0,0
p01,/root/wja/project/my/cospaq/fake/artifacts/debug/038_llama31_8b_instruct_prefill_only_pareto/policies/prefill_only/p01.json,527.7262428767209,0.036951529979705855,0,128,0,0,0
p02,/root/wja/project/my/cospaq/fake/artifacts/debug/038_llama31_8b_instruct_prefill_only_pareto/policies/prefill_only/p02.json,529.6663221484725,0.683958719968796,0,0,128,0,0
p03,/root/wja/project/my/cospaq/fake/artifacts/debug/038_llama31_8b_instruct_prefill_only_pareto/policies/prefill_only/p03.json,453.7057550525517,1.45370649933815,0,0,0,128,0
p04,/root/wja/project/my/cospaq/fake/artifacts/debug/038_llama31_8b_instruct_prefill_only_pareto/policies/prefill_only/p04.json,1043.4185847781043,0.036951529979705855,0,0,0,0,128
p37,/root/wja/project/my/cospaq/fake/artifacts/debug/038_llama31_8b_instruct_prefill_only_pareto/policies/prefill_only/p37.json,1029.0896636911375,0.04793306708335865,98,6,5,3,16
p39,/root/wja/project/my/cospaq/fake/artifacts/debug/038_llama31_8b_instruct_prefill_only_pareto/policies/prefill_only/p39.json,858.3575495629684,0.10482504487037647,47,29,12,6,34
p42,/root/wja/project/my/cospaq/fake/artifacts/debug/038_llama31_8b_instruct_prefill_only_pareto/policies/prefill_only/p42.json,1002.72505543846,0.048027055263519136,92,13,6,4,13
p45,/root/wja/project/my/cospaq/fake/artifacts/debug/038_llama31_8b_instruct_prefill_only_pareto/policies/prefill_only/p45.json,715.5196073537402,0.2242414700984956,22,35,20,12,39
p52,/root/wja/project/my/cospaq/fake/artifacts/debug/038_llama31_8b_instruct_prefill_only_pareto/policies/prefill_only/p52.json,1026.5157634656496,0.03860008358955391,106,9,2,3,8
p60,/root/wja/project/my/cospaq/fake/artifacts/debug/038_llama31_8b_instruct_prefill_only_pareto/policies/prefill_only/p60.json,729.143438893619,0.2945738232135773,33,32,17,18,28
p68,/root/wja/project/my/cospaq/fake/artifacts/debug/038_llama31_8b_instruct_prefill_only_pareto/policies/prefill_only/p68.json,915.7608666236004,0.09060157179832484,61,25,11,9,22
