kind,policy_id,speed_median_ms,speedup_vs_dense,actual_delta_nll,predicted_delta_nll,predicted_speedup_vs_dense
ours,point_000,3432.1603514254093,1.0,0.0,0.0,1.0
ours,point_002,3132.484497502446,1.0956671466888015,0.38710308909417535,0.04388842406483033,1.0987489871271288
ours,point_004,2708.3872128278017,1.2672339963686075,0.5428128159046224,0.1701548966049415,1.136803848728716
ours,point_006,2312.2293185442686,1.4843511947103178,1.6379492187500067,0.32585281286301243,1.1744760951491338
ours,point_008,2165.022535249591,1.5852769638860773,2.821402908563612,0.5802549207460563,1.1744760951491338
ours,point_009,2028.5285357385874,1.691945807494278,2.881882331371311,0.9301706654200476,1.1744760951491338
uniform,dense_bf16,3436.9112383574247,0.9986176870444039,0.0,,
uniform,dense_nvfp4,3242.6806557923555,1.058433042209873,2.881882331371311,,
uniform,sparse_bf16,2926.3356253504753,1.172852601626771,55.305652369260784,,
uniform,w4a16_ours,2922.911951318383,1.1742263908693278,2.881882331371311,,
