policy_id,scenario,sample_count,dense_prefill_nll,dense_decode_nll,prefill_nll,decode_nll,delta_prefill_nll,delta_decode_nll,target_delta_nll,prefill_tokens,decode_tokens,split,policy_kind
p00,prefill_decode,100,1.983379703760147,1.90317200756073,1.983379703760147,1.90317200756073,0.0,0.0,0.0,8000,8000,train,controlled
p01,prefill_decode,100,1.983379703760147,1.90317200756073,2.020331233739853,1.938733642578125,0.036951529979705855,0.035561635017395066,2.881882331371311,8000,8000,train,controlled
p02,prefill_decode,100,1.983379703760147,1.90317200756073,2.667338423728943,2.58594317817688,0.683958719968796,0.6827711706161499,55.305652369260784,8000,8000,train,controlled
p03,prefill_decode,100,1.983379703760147,1.90317200756073,3.437086203098297,3.304998237609863,1.45370649933815,1.4018262300491333,113.59980490326882,8000,8000,train,controlled
p04,prefill_decode,100,1.983379703760147,1.90317200756073,2.020331233739853,1.938733642578125,0.036951529979705855,0.035561635017395066,2.881882331371311,8000,8000,train,controlled
p05,prefill_decode,100,1.983379703760147,1.90317200756073,1.986006999015808,1.9130362319946288,0.0026272952556609663,0.009864224433898894,0.7917652499675725,8000,8000,train,controlled
p06,prefill_decode,100,1.983379703760147,1.90317200756073,1.9885515820980073,2.194255819320679,0.005171878337860258,0.291083811759949,23.291876819133783,8000,8000,train,controlled
p07,prefill_decode,100,1.983379703760147,1.90317200756073,2.1373782086372377,2.041685715198517,0.15399850487709066,0.13851370763778714,11.235095115900062,8000,8000,train,controlled
p08,prefill_decode,100,1.983379703760147,1.90317200756073,1.9893187189102173,3.304998237609863,0.005939015150070226,1.4018262300491333,112.15203741908074,8000,8000,train,controlled
p09,prefill_decode,100,1.983379703760147,1.90317200756073,1.985467345714569,1.9091778745651244,0.002087641954422015,0.006005867004394538,0.4825570023059851,8000,8000,train,controlled
p10,prefill_decode,100,1.983379703760147,1.90317200756073,1.9972326529026032,1.9646783981323241,0.013852949142456161,0.06150639057159424,4.934364194869995,8000,8000,train,controlled
p11,prefill_decode,100,1.983379703760147,1.90317200756073,2.054364538192749,2.0713246240615844,0.07098483443260206,0.16815261650085445,13.523194154500958,8000,8000,train,controlled
p12,prefill_decode,100,1.983379703760147,1.90317200756073,1.9856582844257356,2.1372839231491088,0.0022785806655885033,0.23411191558837885,18.731231827735897,8000,8000,train,controlled
p13,prefill_decode,100,1.983379703760147,1.90317200756073,1.9843309557437896,1.9075766754150392,0.0009512519836425426,0.004404667854309263,0.3533246803283836,8000,8000,train,controlled
p14,prefill_decode,100,1.983379703760147,1.90317200756073,1.9903121995925903,1.9205314607620239,0.006932495832443264,0.01735945320129395,1.3956887519359593,8000,8000,train,controlled
p15,prefill_decode,100,1.983379703760147,1.90317200756073,2.116041439771652,2.1062639369964598,0.132661736011505,0.20309192943572985,16.380016090869894,8000,8000,train,controlled
p16,prefill_decode,100,1.983379703760147,1.90317200756073,1.986252145767212,1.9863611268997192,0.002872442007064935,0.08318911933898931,6.65800198912621,8000,8000,train,controlled
