policy_id,policy_json,raw_predicted_prefill_ms,raw_predicted_decode_ms,raw_predicted_linear_ms,measured_delta_nll,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,count_w4a16_ours,e2e_median_ms,raw_dense_scaled_ms,monotone_prediction_ms,split
p00,/root/wja/project/my/cospaq/fake/artifacts/debug/039_llama31_8b_instruct_prefill_decode_pareto/speed_calibration_util085/policies/p00.json,2255.8515268215997,11.773395583355816,3197.723173490065,0.0,128,0,0,0,0,3436.9112383574247,3436.9112383574247,3436.9112383574247,train
p01,/root/wja/project/my/cospaq/fake/artifacts/debug/039_llama31_8b_instruct_prefill_decode_pareto/speed_calibration_util085/policies/p01.json,1025.239200253609,19.96170098265173,2622.1752788657477,2.881882331371311,0,128,0,0,0,3242.6806557923555,2818.312654325424,3117.4225490540266,train
p02,/root/wja/project/my/cospaq/fake/artifacts/debug/039_llama31_8b_instruct_prefill_decode_pareto/speed_calibration_util085/policies/p02.json,996.3443653493661,13.267631315316077,2057.754870574652,55.305652369260784,0,0,128,0,0,2926.3356253504753,2211.6738869374562,2926.3356253504753,train
p04,/root/wja/project/my/cospaq/fake/artifacts/debug/039_llama31_8b_instruct_prefill_decode_pareto/speed_calibration_util085/policies/p04.json,2388.584058365195,5.646165695615755,2840.2773140144554,2.881882331371311,0,0,0,0,128,2922.911951318383,3052.7286106300758,3117.4225490540266,train
p37,/root/wja/project/my/cospaq/fake/artifacts/debug/039_llama31_8b_instruct_prefill_decode_pareto/speed_calibration_util085/policies/p37.json,2157.8552477148955,11.941232918761525,3113.153881215818,11.989168342351912,98,9,5,0,16,3402.457866817713,3346.016206089805,3402.457866817713,train
p39,/root/wja/project/my/cospaq/fake/artifacts/debug/039_llama31_8b_instruct_prefill_decode_pareto/speed_calibration_util085/policies/p39.json,1829.1336131822138,12.412429766520088,2822.127994503821,15.927690569162367,47,35,12,0,34,3164.838671684265,3033.221731262979,3117.4225490540266,train
p41,/root/wja/project/my/cospaq/fake/artifacts/debug/039_llama31_8b_instruct_prefill_decode_pareto/speed_calibration_util085/policies/p41.json,1454.2948989155636,14.21938929729924,2591.846042699503,26.785303781032564,10,58,24,0,36,3139.2589174211025,2785.7148067397634,3117.4225490540266,train
p42,/root/wja/project/my/cospaq/fake/artifacts/debug/039_llama31_8b_instruct_prefill_decode_pareto/speed_calibration_util085/policies/p42.json,2073.932094153634,12.8886979383335,3105.027929220314,3.9821264815330633,92,17,6,0,13,3420.396614819765,3337.2824370233548,3393.9698411402946,holdout
p45,/root/wja/project/my/cospaq/fake/artifacts/debug/039_llama31_8b_instruct_prefill_decode_pareto/speed_calibration_util085/policies/p45.json,1517.8045273102116,13.286740890144149,2580.7437985217434,28.68844396948815,22,47,20,0,39,3099.765045568347,2773.7821203515655,3113.4503926192115,holdout
p52,/root/wja/project/my/cospaq/fake/artifacts/debug/039_llama31_8b_instruct_prefill_decode_pareto/speed_calibration_util085/policies/p52.json,2128.2269125246676,12.188048954013997,3103.270828845787,22.014552460908906,106,12,2,0,8,3456.673139706254,3335.3939064356546,3392.134448425073,holdout
p60,/root/wja/project/my/cospaq/fake/artifacts/debug/039_llama31_8b_instruct_prefill_decode_pareto/speed_calibration_util085/policies/p60.json,1542.2834043579364,14.943377709929493,2737.7536211522956,54.97440742611886,33,50,17,0,28,3231.598064303398,2942.5361977542343,3117.4225490540266,holdout
p68,/root/wja/project/my/cospaq/fake/artifacts/debug/039_llama31_8b_instruct_prefill_decode_pareto/speed_calibration_util085/policies/p68.json,1921.482350812817,13.449178904221917,2997.4166631505705,16.10454543471335,61,34,11,0,22,3358.6438857018948,3221.621903054959,3281.5636652134785,holdout
