benchmark_level,shape_index,m,n,k,gpu,warmup,iters,bias,torch_version,cuda_version,kernel,status,latency_ms,tflops,error_msg
module_forward,0,16384,12288,4096,0,5,20,False,2.9.0+cu128,12.8,dense_bf16,pass,3.946798,417.874761,
module_forward,0,16384,12288,4096,0,5,20,False,2.9.0+cu128,12.8,dense_nvfp4,pass,3.153016,523.076142,
module_forward,0,16384,12288,4096,0,5,20,False,2.9.0+cu128,12.8,sparse_bf16,pass,2.824893,583.833637,
module_forward,0,16384,12288,4096,0,5,20,False,2.9.0+cu128,12.8,sparse_nvfp4,pass,2.585422,637.910245,
module_forward,0,16384,12288,4096,0,5,20,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,4.725589,349.007818,
module_forward,1,16384,4096,4096,0,5,20,False,2.9.0+cu128,12.8,dense_bf16,pass,1.385326,396.842082,
module_forward,1,16384,4096,4096,0,5,20,False,2.9.0+cu128,12.8,dense_nvfp4,pass,2.133430,257.686315,
module_forward,1,16384,4096,4096,0,5,20,False,2.9.0+cu128,12.8,sparse_bf16,pass,1.047125,525.014607,
module_forward,1,16384,4096,4096,0,5,20,False,2.9.0+cu128,12.8,sparse_nvfp4,pass,1.979867,277.673077,
module_forward,1,16384,4096,4096,0,5,20,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,1.588272,346.134551,
module_forward,2,16384,22016,4096,0,5,20,False,2.9.0+cu128,12.8,dense_bf16,pass,7.211062,409.778384,
module_forward,2,16384,22016,4096,0,5,20,False,2.9.0+cu128,12.8,dense_nvfp4,pass,4.206206,702.518411,
module_forward,2,16384,22016,4096,0,5,20,False,2.9.0+cu128,12.8,sparse_bf16,pass,4.796994,615.997791,
module_forward,2,16384,22016,4096,0,5,20,False,2.9.0+cu128,12.8,sparse_nvfp4,pass,3.353426,881.169841,
module_forward,2,16384,22016,4096,0,5,20,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,8.215037,359.698627,
module_forward,3,16384,4096,11008,0,5,20,False,2.9.0+cu128,12.8,dense_bf16,pass,3.474142,425.275815,
module_forward,3,16384,4096,11008,0,5,20,False,2.9.0+cu128,12.8,dense_nvfp4,pass,5.292651,279.154755,
module_forward,3,16384,4096,11008,0,5,20,False,2.9.0+cu128,12.8,sparse_bf16,pass,2.572136,574.413151,
module_forward,3,16384,4096,11008,0,5,20,False,2.9.0+cu128,12.8,sparse_nvfp4,pass,5.000176,295.483349,
module_forward,3,16384,4096,11008,0,5,20,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,3.991522,370.151760,
