point_index,quality_ratio,predicted_quality_cost,raw_predicted_linear_ms,raw_linear_speedup_vs_dense,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,policy_json
0,0.0,0.0,1766.5121279999985,1.0,128,0,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_decode/pareto/policies/point_000.json
1,0.001,0.008244148786302766,1738.3407039999984,1.016205927834041,126,2,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_decode/pareto/policies/point_001.json
2,0.001584893192461114,0.015795601871401273,1724.2549919999983,1.0245074749361667,125,3,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_decode/pareto/policies/point_002.json
3,0.0025118864315095794,0.024389645449627177,1710.1692799999983,1.0329457724793187,124,4,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_decode/pareto/policies/point_003.json
4,0.003981071705534973,0.04404451737517358,1681.9978559999981,1.0502463613128412,122,6,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_decode/pareto/policies/point_004.json
5,0.00630957344480193,0.08401203407747627,1625.655007999998,1.086646379032962,118,10,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_decode/pareto/policies/point_005.json
6,0.01,0.12558108613275484,1541.1407359999978,1.146236736681783,112,16,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_decode/pareto/policies/point_006.json
7,0.01584893192461114,0.18927627013189482,1414.369327999998,1.2489751389744512,103,25,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_decode/pareto/policies/point_007.json
8,0.025118864315095808,0.29484464488858314,1292.8770959999986,1.3663418846736228,88,40,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_decode/pareto/policies/point_008.json
9,0.039810717055349734,0.39769221751709577,1224.200352,1.4429926646516749,64,64,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_decode/pareto/policies/point_009.json
10,0.06309573444801933,0.7861784867262068,1172.106069,1.5071265090429273,35,64,0,0,29,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_decode/pareto/policies/point_010.json
11,0.1,0.8876151289472586,1161.6096959999988,1.5207449921285783,0,64,0,0,64,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_decode/pareto/policies/point_011.json
