point_index,quality_ratio,predicted_quality_cost,raw_predicted_linear_ms,raw_linear_speedup_vs_dense,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,policy_json
0,0.0,0.0,512.5544960000003,1.0,128,0,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_000.json
1,0.001,0.0006744139183595603,506.5978360000002,1.011758163135936,126,2,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_001.json
2,0.001584893192461114,0.0012921617533927067,503.6195060000002,1.017741548715947,125,3,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_002.json
3,0.0025118864315095794,0.001945365917610726,500.64117600000014,1.0237961249915253,124,4,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_003.json
4,0.003981071705534973,0.0031727969783212065,494.68451600000014,1.0361239930137618,122,6,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_004.json
5,0.00630957344480193,0.005666021297965578,482.77119600000015,1.0616923715556554,118,10,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_005.json
6,0.01,0.008931037920507074,466.51817000000017,1.0986806708943408,112,15,0,1,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_006.json
7,0.01584893192461114,0.012587534600785644,452.98789600000003,1.1314971117903783,108,20,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_007.json
8,0.025118864315095808,0.018204631879477424,430.77820999999983,1.189833849766915,100,27,0,1,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_008.json
9,0.039810717055349734,0.028582534038840448,404.3793269999999,1.2675091474198938,81,42,4,1,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_009.json
10,0.06309573444801933,0.04990606570523917,385.0744690000001,1.3310529190134395,59,58,7,4,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_010.json
11,0.1,0.08950983939102465,378.5603930000001,1.353957005216867,56,52,9,11,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_011.json
12,0.15848931924611143,0.1530238245327575,370.1452070000002,1.3847389789380686,50,45,21,12,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_012.json
13,0.25118864315095824,0.2495227692738975,357.8878340000001,1.4321651850283352,39,41,31,17,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_013.json
14,0.3981071705534973,0.40862765467843326,339.0704270000002,1.5116461218247146,32,27,36,33,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_014.json
15,0.6309573444801936,0.6634242189421998,314.8921850000001,1.6277142476559086,26,0,39,63,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_015.json
16,1.0,0.8269862933800046,305.85948799999994,1.6757841953884407,0,0,64,64,0,/root/workspaces/cospaq/fake/artifacts/debug/040_llama2_current_gpu_pareto_solver/prefill_only/pareto/policies/point_016.json
