model,policy,family,avg_nll,perplexity,token_count,phase_hetero,phase_trace,trace_events,result_path
llama2,point_001_runtime,ours-formal-pareto,2.0070588309712076,7.441398718481899,2560,True,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_001_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 64, ""reuse_decode_weight"": 4032, ""schedule_decode_copy"": 64}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_001_runtime.json
llama2,point_002_runtime,ours-formal-pareto,2.0080915527630965,7.449087582646041,2560,True,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_002_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 96, ""reuse_decode_weight"": 4000, ""schedule_decode_copy"": 96}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_002_runtime.json
llama2,point_003_runtime,ours-formal-pareto,2.00694394030893,7.440543820365707,2560,True,results/llama2_prefill_decode/point_003_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 128, ""reuse_decode_weight"": 3968, ""schedule_decode_copy"": 128}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_003_runtime.json
llama2,point_004_runtime,ours-formal-pareto,2.0053343891309874,7.428577517067269,2560,True,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_004_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 192, ""reuse_decode_weight"": 3904, ""schedule_decode_copy"": 192}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_004_runtime.json
llama2,point_005_runtime,ours-formal-pareto,2.0066535522154165,7.438383488713483,2560,True,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_005_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 320, ""reuse_decode_weight"": 3776, ""schedule_decode_copy"": 320}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_005_runtime.json
llama2,point_006_runtime,ours-formal-pareto,2.01040732112588,7.466357933349327,2560,True,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_006_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 512, ""reuse_decode_weight"": 3584, ""schedule_decode_copy"": 512}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_006_runtime.json
llama2,point_007_runtime,ours-formal-pareto,2.0156846407369446,7.505864443045093,2560,True,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_007_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 800, ""reuse_decode_weight"": 3296, ""schedule_decode_copy"": 800}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_007_runtime.json
llama2,point_008_runtime,ours-formal-pareto,2.011935166157028,7.477774090056981,2560,True,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_008_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 1280, ""reuse_decode_weight"": 2816, ""schedule_decode_copy"": 1280}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_008_runtime.json
llama2,point_009_runtime,ours-formal-pareto,2.0208419324092626,7.544674366256599,2560,True,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_009_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 2048, ""reuse_decode_weight"": 2048, ""schedule_decode_copy"": 2048}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_009_runtime.json
llama2,point_010_runtime,ours-formal-pareto,2.028548351202501,7.603041398114706,2560,True,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_010_runtime.phase_trace.json,"{""apply_decode"": 323584, ""apply_prefill"": 4096, ""enable"": 1, ""enter_decode"": 32, ""prefill_ready"": 31, ""prepare_next_prefill"": 32, ""release_prefill"": 2944, ""reuse_decode_weight"": 1152, ""schedule_decode_copy"": 2944}",artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_010_runtime.json
