model,policy,family,recommendation,e2e_ms,speedup,speed_source,avg_nll,perplexity,quality_backend,quality_status,phase_trace,cnn_rougel,cnn_bertscore,dsum_rougel,dsum_bertscore,iwslt_rougel,iwslt_bleu,downstream_source
llama2,dense_bf16,uniform,baseline,5150.02822317183,1.0,measured task-run speed (E2E derived),2.0053798694399854,7.428915378751129,real vLLM teacher-forced decode,complete,,23.670921942521996,87.18532090187072,21.6884274989806,87.1764805873235,46.70098853495221,19.295782920893743,existing measured vLLM generation tasks
llama2,dense_nvfp4,uniform,,4336.256396916399,1.1876669070662245,measured task-run speed (E2E derived),2.073926434223647,7.9560005826331865,real vLLM teacher-forced decode,complete,,24.27316709602392,87.20423089861869,20.592439983847946,86.69056718349457,44.96912293665968,16.83504400661571,existing measured vLLM generation tasks
llama2,marlin_nvfp4,uniform,,3713.6269431905553,1.3867920235270572,measured task-run speed (E2E derived),2.063443932681765,7.873037384867351,real vLLM teacher-forced decode,complete,,24.579271279422223,87.25105342864991,21.36761570848509,87.0532276670138,46.77159598765611,18.199827875042086,existing measured vLLM generation tasks
llama2,sparse_bf16,uniform,,3571.8742099779683,1.4418279929302427,measured task-run speed (E2E derived),2.4013308907908226,11.037856791417049,real vLLM teacher-forced decode,complete,,15.349945589337494,82.13147045969963,13.539484283644915,75.3919464190801,15.797981349922448,3.8998158055250642,existing measured vLLM generation tasks
llama2,sparse_nvfp4,uniform,,4345.409486886788,1.1851652275149565,measured task-run speed (E2E derived),3.2572943447978298,25.97915133963011,real vLLM teacher-forced decode,complete,,2.047047209920785,9.626103883981704,9.38796571259981,61.905633258819584,1.1334802235423875,0.23786141262252805,existing measured vLLM generation tasks
llama2,point_000,ours,identity / dense reference,5150.02822317183,1.0,measured formal closure,2.0053798694399854,7.428915378751129,real vLLM teacher-forced decode,complete,,23.61032474800552,87.18523597121238,21.598181660389766,87.15888999303182,46.908911718967225,19.411758651336964,existing measured vLLM generation tasks
llama2,point_001,ours,,5087.917628698051,1.0122074685571654,measured formal closure,2.0070588309712076,7.441398718481899,real vLLM teacher-forced decode,complete,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_001_runtime.phase_trace.json,23.77054844867785,87.20547243952751,21.51506054624887,87.14711858828863,47.01403235133006,19.437368009710276,existing measured vLLM generation tasks
llama2,point_002,ours,,5098.018475808203,1.0102019534865223,measured formal closure,2.0080915527630965,7.449087582646041,real vLLM teacher-forced decode,complete,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_002_runtime.phase_trace.json,23.623289157856924,87.17718974351884,21.759558629626994,87.17403778632482,47.08681872536956,19.56546084559108,existing measured vLLM generation tasks
llama2,point_003,ours,recommended: high-quality,4989.929265342653,1.0320844142904266,measured formal closure,2.00694394030893,7.440543820365707,real vLLM teacher-forced decode,complete,results/llama2_prefill_decode/point_003_runtime.phase_trace.json,23.776067154266176,87.19689587950707,21.38457601902527,87.14585256973902,47.772834300740335,20.23791657386653,existing measured vLLM generation tasks
llama2,point_004,ours,,5064.934432506561,1.0168005710240078,measured formal closure,2.0053343891309874,7.428577517067269,real vLLM teacher-forced decode,complete,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_004_runtime.phase_trace.json,23.88062743107757,87.21723417639733,21.525319614043823,87.20220663547515,47.24157159296758,19.609265848606476,existing measured vLLM generation tasks
