model,policy,family,recommendation,e2e_ms,speedup,speed_source,quality_backend,quality_status,wikitext_word_ppl,winogrande_acc_pct,arc_easy_norm_pct,arc_challenge_norm_pct,mmlu_acc_pct
llama2,dense_bf16,uniform,baseline,1079.535860568285,1.0,measured 5-repeat closure,real vLLM/lm-eval,complete,12.227501197051792,68.27150749802684,68.39225589225589,43.344709897610926,46.57456202820111
llama2,ours_point_004,ours,,1062.2048489749432,1.0163160727519431,measured 5-repeat closure,real vLLM/lm-eval,complete,12.33372918616201,68.66614048934491,68.22390572390572,43.77133105802048,46.31818829226606
llama2,marlin_nvfp4,uniform,,1034.9917970597744,1.0430380836206163,measured 5-repeat closure,real vLLM/lm-eval,complete,13.005043560394244,67.79794790844514,67.5925925925926,42.74744027303754,45.44224469448797
llama2,ours_point_006,ours,,1005.5912267416716,1.073533491403072,measured 5-repeat closure,real vLLM/lm-eval,complete,12.66019808187296,67.64009471191792,68.01346801346801,42.918088737201366,44.957983193277315
llama2,ours_point_008,ours,recommended: high-quality,890.0237809866667,1.2129292313645015,measured 5-repeat closure,real vLLM/lm-eval,complete,12.764399160439705,67.64009471191792,67.8030303030303,42.23549488054608,44.523572140720695
llama2,ours_point_009,ours,,791.9294498860836,1.3631717581958502,measured 5-repeat closure,real vLLM/lm-eval,complete,12.869364791308508,67.95580110497238,66.79292929292929,42.491467576791806,44.452357214072066
llama2,sparse_bf16,uniform,,660.948358476162,1.6333134755901206,measured 5-repeat closure,real vLLM/lm-eval,complete,19.869162807238077,63.85161799526441,58.207070707070706,35.06825938566553,28.24383990884489
llama2,ours_point_011,ours,,660.3359412401915,1.6348282641420138,measured 5-repeat closure,real vLLM/lm-eval,complete,23.294621402915002,65.11444356748224,66.20370370370371,41.979522184300336,42.6577410625267
llama2,ours_point_012,ours,recommended: primary balanced,625.4506222903728,1.7260129290703587,measured 5-repeat closure,real vLLM/lm-eval,complete,29.661588034635017,63.69376479873717,64.26767676767676,39.419795221843,39.48155533399801
llama2,ours_point_013,ours,recommended: dense-NVFP4 cover,596.0017088800669,1.8112965860396877,measured 5-repeat closure,real vLLM/lm-eval,complete,59.49004078418871,63.378058405682715,61.531986531986526,37.45733788395905,36.697051702036745
llama2,dense_nvfp4,uniform,,578.1633891165257,1.8671812862759984,measured 5-repeat closure,real vLLM/lm-eval,complete,13.21388639402636,68.35043409629044,67.21380471380472,43.003412969283275,44.374020794758586
llama2,ours_point_015,ours,,552.7410674840212,1.9530588987754063,measured 5-repeat closure,real vLLM/lm-eval,complete,2334.1378170240628,53.196527229676406,40.99326599326599,28.071672354948806,23.714570573992308
llama2,ours_point_016,ours,recommended: max-speed endpoint,528.4375622868538,2.0428825231433425,measured 5-repeat closure,real vLLM/lm-eval,complete,5923.5495801908655,53.67008681925809,37.71043771043771,25.341296928327644,22.988178322176328
llama2,sparse_nvfp4,uniform,,520.6317435950041,2.0735114096462945,measured 5-repeat closure,real vLLM/lm-eval,complete,60.34659541501098,54.064719810576165,34.301346801346796,23.293515358361773,22.88135593220339
llama31,dense_bf16,uniform,baseline,1187.124164775014,1.0,fresh 5-repeat closure,real vLLM/lm-eval,complete,9.4250243065713,73.32280978689818,79.62962962962963,55.972696245733786,68.34496510468594
llama31,dense_nvfp4,uniform,,687.1499121189117,1.7276057870899957,fresh 5-repeat closure,real vLLM/lm-eval,complete,10.612203430407627,71.19179163378058,76.97811447811448,51.791808873720136,63.715994872525286
llama31,sparse_bf16,uniform,,766.0693563520908,1.5496301410983515,fresh 5-repeat closure,real vLLM/lm-eval,complete,21.361728673609942,65.90370955011839,62.878787878787875,38.395904436860064,39.71656459193847
llama31,sparse_nvfp4,uniform,,618.4626184403896,1.919476019049702,fresh 5-repeat closure,real vLLM/lm-eval,complete,82.92672908610642,53.27545382794001,38.84680134680135,23.890784982935152,23.10924369747899
llama31,marlin_nvfp4,uniform,,1156.2783624976873,1.0266767962436798,fresh 5-repeat closure,real vLLM/lm-eval,complete,10.124562991033248,73.8752959747435,79.46127946127946,54.010238907849825,65.26135878080046
llama31,ours_point_3,ours,,969.6506038308144,1.2242803336428847,fresh 5-repeat closure,real vLLM/lm-eval,complete,9.659558781252683,74.5067087608524,79.37710437710437,55.034129692832764,67.84646061814557
llama31,ours_point_5,ours,,826.1113222688437,1.4370026566331031,fresh 5-repeat closure,real vLLM/lm-eval,complete,9.856502317262668,73.48066298342542,78.07239057239057,53.15699658703071,66.97051702036747
llama31,ours_point_6,ours,recommended: near-lossless,760.7574313879013,1.5604503035997466,fresh 5-repeat closure,real vLLM/lm-eval,complete,9.998972673342806,71.66535122336228,76.34680134680136,52.901023890784984,66.35094715852443
llama31,ours_point_8,ours,recommended: dense-NVFP4-cover,663.9810800552368,1.7878885414570196,fresh 5-repeat closure,real vLLM/lm-eval,complete,180.06659712586338,56.353591160220994,60.77441077441077,40.870307167235495,47.83506622988178
llama31,ours_point_9,ours,,639.6167483180761,1.8559929331066654,fresh 5-repeat closure,real vLLM/lm-eval,complete,291.1348387606901,52.09155485398579,55.42929292929293,35.83617747440273,40.08688221051132
llama31,ours_point_11,ours,optional: high-speed trade-off,583.413228392601,2.0347913057195077,fresh 5-repeat closure,real vLLM/lm-eval,complete,423.4485640970783,49.72375690607735,44.696969696969695,28.41296928327645,30.444381142287426
llama31,ours_point_13,ours,,547.455171123147,2.1684408649196536,fresh 5-repeat closure,real vLLM/lm-eval,complete,1262.3457001826207,53.117600631412785,40.36195286195286,25.853242320819113,24.768551488391967
