family,policy,recommendation,speed_ms,speedup_vs_dense_bf16,measured_delta_nll,predicted_delta_nll,wikitext_word_ppl,winogrande_acc,arc_easy_acc_norm,arc_challenge_acc_norm,mmlu_acc
uniform,dense_bf16,baseline,1079.535860568285,1.0,0.0,,12.227501197051792,0.6827150749802684,0.6839225589225589,0.4334470989761093,0.46574562028201105
uniform,marlin_nvfp4,,1034.9917970597744,1.0430380836206163,0.037335596794509485,,13.005043560394244,0.6779794790844513,0.6759259259259259,0.4274744027303754,0.45442244694487965
uniform,sparse_bf16,,660.948358476162,1.6333134755901206,0.34570702506088535,,19.869162807238077,0.6385161799526441,0.5820707070707071,0.3506825938566553,0.2824383990884489
uniform,dense_nvfp4,,578.1633891165257,1.8671812862759984,0.05382193267149571,,13.21388639402636,0.6835043409629045,0.6721380471380471,0.4300341296928327,0.44374020794758584
uniform,sparse_nvfp4,,520.6317435950041,2.0735114096462945,1.1478094987739684,,60.34659541501098,0.5406471981057617,0.34301346801346794,0.23293515358361774,0.2288135593220339
ours,point_000,,1136.5273389965296,1.0,0.0,0.0,12.227501197051792,0.6827150749802684,0.6839225589225589,0.4334470989761092,0.4657456202820111
ours,point_008,candidate,1022.0010112971067,1.1120608751199452,0.008294177863026553,0.01411951952154189,12.416329834329915,0.6787687450670876,0.6801346801346801,0.43600682593856654,0.45862412761714855
ours,point_012,candidate,844.2790471017361,1.346151302579439,0.014962985167239928,0.04765337838520388,12.484122446813176,0.6827150749802684,0.6738215488215489,0.4283276450511945,0.4550633812847173
ours,point_015,,682.8227210789919,1.6644544827105294,0.241302852964576,0.11825097599291333,16.71038367208032,0.6614048934490924,0.6691919191919192,0.43686006825938567,0.45107534539239424
ours,point_018,,630.9887692332268,1.8011847348370873,0.7321981474090378,0.29121509013180147,34.342287569113125,0.6495659037095501,0.6460437710437711,0.4069965870307167,0.41318900441532547
ours,point_020,,593.8360746949911,1.9138738574955692,1.0654412913002722,0.5312469219980136,49.38379459784388,0.5730071033938438,0.5816498316498316,0.34897610921501704,0.30615296966244127
ours,point_022,,559.0657480061054,2.0329046146180967,2.4170156794600284,0.9680695571957159,366.73075236637123,0.5595895816890292,0.49957912457912457,0.2986348122866894,0.24704458054408204
ours,point_023,,542.9846029728651,2.0931115408687306,4.809215127871887,1.27075675693877,5923.5495801908655,0.510655090765588,0.38047138047138046,0.2645051194539249,0.22916963395527704
