policy_id,family,split,path,sha256,dense_nvfp4,sparse_bf16,sparse_nvfp4,avg_nll,delta_nll,perplexity,elapsed_seconds
q024,quant_only,train,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/q024.json,7a7787d3df9c55889648ab0f24b972ff9cfbe6b39bca1642100d34a03677c0c5,24,0,0,1.975709046379103,0.00017761360537349447,7.211731293372184,54.13157827965915
q048,quant_only,train,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/q048.json,299bcbf4aacb918d063af5d36fef50296f448b18662a4770f0926daaf7457b4f,48,0,0,1.9756564338503388,0.00012500107660939896,7.211351875933215,57.87415476329625
q072,quant_only,train,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/q072.json,666fcd4795a45b81de6ef2d1a534205ca3bbb34ed67472b6424692ed9379c52f,72,0,0,1.9757817024680526,0.0002502696943231797,7.212255288598008,71.84266045689583
q096,quant_only,train,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/q096.json,979b57a1be52b8a5df8f6d75d506d5957551b3bd64667e3a2e28984eae46792a,96,0,0,1.9756773144659965,0.00014588169226703585,7.211502454972194,88.44168395549059
q112,quant_only,holdout,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/q112.json,497803e41505a7a04fa1371ecdc5d2c74fc4afcccdb8e03b841a34f29785d5f1,112,0,0,1.975830378982919,0.0002989462091895767,7.212606364594292,94.74907662346959
q120,quant_only,holdout,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/q120.json,2e8cc42a9680e84956edda493770fe5e0dfae422b9b5caeecee6d78b51381240,120,0,0,1.9758355872959077,0.000304154522178246,7.212643930203529,60.780665561556816
s002,sparse_only,train,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/s002.json,8c6919a18908d67241c29daa8a71d2800d35a561acba008dc95f95e15721df42,0,2,0,1.975774147910009,0.00024271513627960317,7.21220080340261,45.143856378272176
s004,sparse_only,train,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/s004.json,33b2adb6a513f045a80099a47446b203290f2c23e6df885f6cecce81f8b964c1,0,4,0,1.975790754053975,0.00025932128024552803,7.212320571241901,47.57738406024873
s008,sparse_only,train,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/s008.json,0eedb0cb022aa12ab62cddc2574196f74e06a2732ed8a98302c1203a3f114c11,0,8,0,1.9783734523703307,0.002842019596601242,7.230971894441238,52.76101899519563
s016,sparse_only,train,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/s016.json,a44373aefb6681931310f90833d2f7d1ddcb0ec8377601c7f7900c5028151e48,0,16,0,1.979775007830941,0.004243575057211624,7.2411136080122676,52.93472850881517
s032,sparse_only,holdout,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/s032.json,094a192cfb49c468bbefb52ac8301719466990b7bd391dd8caed66fae8daaa81,0,32,0,1.9829622696950713,0.007430836921341832,7.264229752302448,60.048589523881674
s064,sparse_only,holdout,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/s064.json,49a33b63249cc3d1c1b6597506492f6ee7dc91fd54f929c3546df8c132ebdb30,0,64,0,1.9850609772275334,0.00952954445380394,7.279491255114895,79.37932043708861
sq002,compound_colocated,train,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/sq002.json,901677eaef2f4de069f3b2f0df92712eab6563ee0c10409ab1c42e1218797924,0,0,2,1.9754736345137212,-5.779826000829047e-05,7.210033766072653,50.7142281755805
sq008,compound_colocated,train,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/sq008.json,834bb6e8e8a06c9fb4ae1230bc70fd79d9a5b7d691766f7298915f2bf0510341,0,0,8,1.9822721434837545,0.006740710710025022,7.259218246430041,51.850232258439064
sq024,compound_colocated,holdout,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/sq024.json,1819ad9521a11aa868e420e72bf0fd0f8abb50ea6b43e8aa81a983df17991b24,0,0,24,1.9993310347178848,0.023799601944155313,7.384114729919299,56.71938211098313
qs80_s002,compound_separated,train,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/qs80_s002.json,5551c8909d6c58419d21d33448227d9fed11189c190826dabb56123f3e5caa86,80,2,0,1.9758422290639976,0.00031079629026820044,7.212691835070915,74.53116617910564
qs80_s008,compound_separated,train,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/qs80_s008.json,c26b79fa248c2f7d0b1f35128ad37aa50033a12ff43150ee8dfa1c0ef6cb5c01,80,8,0,1.9757135687612981,0.00018213598756866567,7.211763907651128,66.25114649161696
qs80_s024,compound_separated,holdout,/root/wja/project/my/cospaq/fake/artifacts/debug/047_llama2_prefill_mechanism_quality_debug/policies/qs80_s024.json,330a74e7af45b613afe4bf7c507d0423a1b6bc116cbbbacd6e5727353c07ecb0,80,24,0,1.9760374878193372,0.0005060550456077451,7.214100313805707,67.34081869572401
