module_index,module_name,layer,module_type,prefill_method,decode_method,prefill_runtime,decode_runtime,quality_cost,latency_ms
0,model.layers.0.self_attn.qkv_proj,0,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.0008681417619147505,2.6727769176622624
1,model.layers.0.self_attn.o_proj,0,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.00017779278629485303,1.257995
2,model.layers.0.mlp.gate_up_proj,0,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.004547024671808314,3.85249556114741
3,model.layers.0.mlp.down_proj,0,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.001226570661044343,3.4039856523906575
4,model.layers.1.self_attn.qkv_proj,1,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.0016368603950637857,2.6727769176622624
5,model.layers.1.self_attn.o_proj,1,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.0023254918791286786,1.257995
6,model.layers.1.mlp.gate_up_proj,1,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.006474570568239187,3.85249556114741
7,model.layers.1.mlp.down_proj,1,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,3.54568812017872e-06,3.4039856523906575
8,model.layers.2.self_attn.qkv_proj,2,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.0032277100013732266,2.6727769176622624
9,model.layers.2.self_attn.o_proj,2,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.004615125173377345,1.257995
10,model.layers.2.mlp.gate_up_proj,2,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.01001194005438744,3.85249556114741
11,model.layers.2.mlp.down_proj,2,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.008294532646815,3.4039856523906575
12,model.layers.3.self_attn.qkv_proj,3,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.0049010086797836,2.6727769176622624
13,model.layers.3.self_attn.o_proj,3,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.0037137597301333944,1.257995
14,model.layers.3.mlp.gate_up_proj,3,gate_up_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.0010689834796515966,4.8661182278672515
15,model.layers.3.mlp.down_proj,3,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.008224948069088434,3.4039856523906575
16,model.layers.4.self_attn.qkv_proj,4,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.005142326045266259,2.6727769176622624
17,model.layers.4.self_attn.o_proj,4,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.0054109794940613845,1.257995
18,model.layers.4.mlp.gate_up_proj,4,gate_up_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.0009653057556910639,4.8661182278672515
19,model.layers.4.mlp.down_proj,4,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.007534570501762261,3.4039856523906575
20,model.layers.5.self_attn.qkv_proj,5,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.005719054577928971,2.6727769176622624
21,model.layers.5.self_attn.o_proj,5,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.005977305782912665,1.257995
22,model.layers.5.mlp.gate_up_proj,5,gate_up_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.0009229804253085808,4.8661182278672515
23,model.layers.5.mlp.down_proj,5,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.00873577332391225,3.4039856523906575
24,model.layers.6.self_attn.qkv_proj,6,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.005974195505956542,2.6727769176622624
25,model.layers.6.self_attn.o_proj,6,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.0060512197220772635,1.257995
26,model.layers.6.mlp.gate_up_proj,6,gate_up_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.0008917782303482712,4.8661182278672515
27,model.layers.6.mlp.down_proj,6,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.008501016535337132,3.4039856523906575
28,model.layers.7.self_attn.qkv_proj,7,qkv_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.0005568956139205905,3.3303209416187576
29,model.layers.7.self_attn.o_proj,7,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.007256620648692763,1.257995
30,model.layers.7.mlp.gate_up_proj,7,gate_up_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.0008754635309064465,4.8661182278672515
31,model.layers.7.mlp.down_proj,7,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.008834455623759905,3.4039856523906575
32,model.layers.8.self_attn.qkv_proj,8,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.0047756622277765086,2.6727769176622624
33,model.layers.8.self_attn.o_proj,8,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.005850690198922973,1.257995
34,model.layers.8.mlp.gate_up_proj,8,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.008658303180173523,3.85249556114741
35,model.layers.8.mlp.down_proj,8,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.006739886790531232,3.4039856523906575
36,model.layers.9.self_attn.qkv_proj,9,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.004985167459272758,2.6727769176622624
37,model.layers.9.self_attn.o_proj,9,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.006411429958398462,1.257995
38,model.layers.9.mlp.gate_up_proj,9,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.008430744708600724,3.85249556114741
39,model.layers.9.mlp.down_proj,9,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.006865973944102548,3.4039856523906575
40,model.layers.10.self_attn.qkv_proj,10,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.004914571837224121,2.6727769176622624
41,model.layers.10.self_attn.o_proj,10,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.006611746171358633,1.257995
42,model.layers.10.mlp.gate_up_proj,10,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.008241455213162698,3.85249556114741
43,model.layers.10.mlp.down_proj,10,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.006662511910591575,3.4039856523906575
44,model.layers.11.self_attn.qkv_proj,11,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.0052268403306330365,2.6727769176622624
45,model.layers.11.self_attn.o_proj,11,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.006738997360064437,1.257995
46,model.layers.11.mlp.gate_up_proj,11,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.00873179058434099,3.85249556114741
47,model.layers.11.mlp.down_proj,11,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.006980451593724932,3.4039856523906575
48,model.layers.12.self_attn.qkv_proj,12,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.005466936018242899,2.6727769176622624
49,model.layers.12.self_attn.o_proj,12,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.006924376703347247,1.257995
50,model.layers.12.mlp.gate_up_proj,12,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.00894829277427106,3.85249556114741
51,model.layers.12.mlp.down_proj,12,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.007146197120406982,3.4039856523906575
52,model.layers.13.self_attn.qkv_proj,13,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.005847192870805633,2.6727769176622624
53,model.layers.13.self_attn.o_proj,13,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.006566602017117352,1.257995
54,model.layers.13.mlp.gate_up_proj,13,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.008764482949473521,3.85249556114741
55,model.layers.13.mlp.down_proj,13,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.007033303037488455,3.4039856523906575
56,model.layers.14.self_attn.qkv_proj,14,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.005854837520152783,2.6727769176622624
57,model.layers.14.self_attn.o_proj,14,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.007203397545371006,1.257995
58,model.layers.14.mlp.gate_up_proj,14,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.00900112471093867,3.85249556114741
59,model.layers.14.mlp.down_proj,14,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.007221087861222927,3.4039856523906575
60,model.layers.15.self_attn.qkv_proj,15,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.005659335817981681,2.6727769176622624
61,model.layers.15.self_attn.o_proj,15,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.006456711424396701,1.257995
62,model.layers.15.mlp.gate_up_proj,15,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.008818967067269905,3.85249556114741
63,model.layers.15.mlp.down_proj,15,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.006922365467644839,3.4039856523906575
64,model.layers.16.self_attn.qkv_proj,16,qkv_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.0005371602069331393,3.3303209416187576
65,model.layers.16.self_attn.o_proj,16,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.006440852970458016,1.257995
66,model.layers.16.mlp.gate_up_proj,16,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.00908199352739146,3.85249556114741
67,model.layers.16.mlp.down_proj,16,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.007276379690971311,3.4039856523906575
68,model.layers.17.self_attn.qkv_proj,17,qkv_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.0005273023558493904,3.3303209416187576
69,model.layers.17.self_attn.o_proj,17,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.006845943709109038,1.257995
