policy_id,split,policy_kind,sample_count,token_count,avg_nll,target_delta_nll,elapsed_seconds,decode_transitions
p00,train,controlled,100,8000,1.920185718948398,0.0,134.00981400720775,100
p01,train,controlled,100,8000,1.9628169329885543,0.04263121404015635,226.30616416968405,100
p02,train,controlled,100,8000,2.281207283158942,0.3610215642105439,157.11418030411005,100
p03,train,controlled,100,8000,2.2342833184175555,0.3140975994691575,248.21681017056108,100
p04,train,controlled,100,8000,1.9445701269248306,0.0243844079764326,97.08207023330033,100
p05,train,controlled,100,8000,1.9193261734284492,-0.0008595455199487123,140.97175211273134,100
p06,train,controlled,100,8000,1.9227409755453917,0.002555256596993738,136.6710862684995,100
p07,train,controlled,100,8000,1.9228890103807568,0.002703291432358812,146.84152139537036,100
p08,train,controlled,100,8000,1.9215401141794421,0.001354395231044192,136.59819962643087,100
p09,train,controlled,100,8000,1.916751212128186,-0.0034345068202119577,135.37532681971788,100
p10,train,controlled,100,8000,1.9089143287624504,-0.011271390185947583,138.64053801633418,100
p11,train,controlled,100,8000,1.9390864138443404,0.018900694895942483,137.85497171618044,100
p12,train,controlled,100,8000,1.9201819727038338,-3.746244564117873e-06,126.65624195709825,100
p13,train,controlled,100,8000,1.918859145357305,-0.0013265735910930054,137.56496230512857,100
p14,train,controlled,100,8000,1.9194353228921048,-0.0007503960562931233,137.2179999127984,100
p15,train,controlled,100,8000,1.913125206705825,-0.0070605122425728695,136.7093877773732,100
p16,train,controlled,100,8000,1.9217367610190303,0.0015510420706323913,126.26648328080773,100
p17,train,controlled,100,8000,1.9227422656062976,0.0025565466578996165,134.6750546246767,100
p18,train,controlled,100,8000,1.9193051084776778,-0.0008806104707201889,131.64478427171707,100
p19,train,controlled,100,8000,1.9335077181073397,0.013321999158941722,135.5184343494475,100
p20,train,controlled,100,8000,1.922292528395809,0.00210680944741104,129.6818675864488,100
p21,train,controlled,100,8000,1.92124622559635,0.0010605066479520975,144.29159676097333,100
p22,train,controlled,100,8000,1.9225276867325793,0.002341967784181387,135.84701777994633,100
p23,train,controlled,100,8000,1.9209560948815056,0.000770375933107692,146.19630017131567,100
p24,train,controlled,100,8000,1.9204180172581835,0.00023229830978555022,132.50225806050003,100
p25,train,controlled,100,8000,1.9196841871013544,-0.0005015318470436014,145.05736236460507,100
p26,train,controlled,100,8000,1.9172578199217467,-0.0029278990266512483,136.91740377992392,100
p27,train,controlled,100,8000,1.9242155170479847,0.004029798099586701,141.99688550457358,100
p28,train,controlled,100,8000,1.9190910306153757,-0.0010946883330222867,130.27215651981533,100
p29,train,controlled,100,8000,1.920211488959442,2.577001104397958e-05,143.3184943087399,100
p30,train,controlled,100,8000,1.9194659297132237,-0.0007197892351742396,134.47306532040238,100
p31,train,controlled,100,8000,1.9233517144346803,0.0031659954862823803,140.01154830120504,100
