policy_id,policy_json,repaired_unsupported_actions,raw_predicted_prefill_ms,raw_predicted_decode_ms,raw_predicted_linear_ms,measured_delta_nll_original_policy,e2e_median_ms,e2e_samples_ms,split,raw_dense_scaled_ms,monotone_prediction_ms
p00,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p00.json,0,2089.525339992455,11.015172084784718,2970.7391067752324,0.0,4879.487970843911,"[4955.330587923527, 4901.611655950546, 4871.323896571994, 4877.181937918067, 4879.487970843911]",train,4879.487970843911,4879.487970843911
p01,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p01.json,0,963.4728319549292,19.545540963264354,2527.1161090160776,0.04263121404015635,4120.854318141937,"[4061.764584854245, 4315.462114289403, 4120.854318141937, 4116.84063449502, 4126.101791858673]",train,4150.829881609928,3799.945155158639
p02,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p02.json,0,928.4460022102392,11.486885073007528,1847.3968080508414,0.3610215642105439,3549.245748668909,"[3578.4362722188234, 3549.245748668909, 3550.6082009524107, 3549.1761565208435, 3549.018058925867]",train,3034.3797210939497,3549.245748668909
p03,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p03.json,0,846.6624908827918,19.545540963264354,2410.3057679439403,0.3140975994691575,3566.3473922759295,"[3566.3473922759295, 3562.073415145278, 3567.4075428396463, 3567.8897444158792, 3566.243775188923]",train,3958.966970177634,3566.3473922759295
p04,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p04.json,0,2159.031324800745,5.266118885984428,2580.3208356794994,0.0243844079764326,3479.0359921753407,"[3453.0236441642046, 3455.7486698031425, 3479.0359921753407, 3558.5842672735453, 3608.442660421133]",train,4238.219522509096,3799.945155158639
p07,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p07.json,0,1924.2826396180308,11.256312150449478,2824.787611653989,0.002703291432358812,4751.627434045076,"[4751.255203038454, 4745.813200250268, 4753.9929933846, 4751.627434045076, 4818.373095244169]",train,4639.760233343644,4751.627434045076
p21,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p21.json,0,2089.525339992455,11.49447111197569,3009.08302895051,0.0010605066479520975,4976.189276203513,"[4972.302066162229, 4976.189276203513, 4973.5789578408, 5051.37855373323, 5093.317063525319]",train,4942.468495314248,4976.189276203513
p37,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p37.json,0,1410.6792344617975,13.418233146095048,2484.1378861494013,0.08252784331876595,4819.342717528343,"[4819.342717528343, 4828.065117821097, 4825.638212263584, 4809.713784605265, 4812.919704243541]",holdout,4080.2374418336058,3713.9971421472733
p05,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p05.json,0,2018.2364510875384,11.49447111197569,2937.794140045594,-0.0008595455199487123,4795.125046744943,"[4794.638497754931, 4792.5228253006935, 4795.125046744943, 4796.292431652546, 4797.992615029216]",holdout,4825.375319722681,4850.626593799626
p24,/root/wja/project/my/cospaq/fake/artifacts/debug/055_llama2_prefill_decode_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p24.json,0,2089.525339992455,10.676037544276875,2943.608343534605,0.00023229830978555022,4811.4218432456255,"[4812.668481841683, 4811.4218432456255, 4808.72443690896, 4808.936275541782, 4814.065670594573]",holdout,4834.925244830532,4855.720115990303
