phase,method,layer_bucket,fused_type,blocks,input_tokens,output_tokens,output_rel_mse,output_mse,output_count,backend
decode,sparse_bf16,0,down_proj,16,2048,64,0.08423320069569476,0.0002225274119762588,33554432,canonical_phase_wrapper
decode,sparse_bf16,0,gate_up_proj,16,2048,64,0.050949616704813544,0.002657155878613446,180355072,canonical_phase_wrapper
decode,sparse_bf16,0,o_proj,16,2048,64,0.055593078323908904,6.97208464672805e-05,33554432,canonical_phase_wrapper
decode,sparse_bf16,0,qkv_proj,16,2048,64,0.007593687077611515,0.008985930078855139,100663296,canonical_phase_wrapper
decode,sparse_bf16,1,down_proj,16,2048,64,0.09275886768908355,0.001285497277876857,33554432,canonical_phase_wrapper
decode,sparse_bf16,1,gate_up_proj,16,2048,64,0.052553857269498135,0.007878803018599662,180355072,canonical_phase_wrapper
decode,sparse_bf16,1,o_proj,16,2048,64,0.08384580270185467,0.0006685661260235065,33554432,canonical_phase_wrapper
decode,sparse_bf16,1,qkv_proj,16,2048,64,0.017066346635881097,0.024000523081970943,100663296,canonical_phase_wrapper
decode,sparse_bf16,2,down_proj,16,2048,64,0.10383191779868049,0.004603375138685806,33554432,canonical_phase_wrapper
decode,sparse_bf16,2,gate_up_proj,16,2048,64,0.06850085759897762,0.016748732694987813,180355072,canonical_phase_wrapper
decode,sparse_bf16,2,o_proj,16,2048,64,0.08389367701585071,0.0012443073801478022,33554432,canonical_phase_wrapper
decode,sparse_bf16,2,qkv_proj,16,2048,64,0.02364659979093855,0.034182431641966105,100663296,canonical_phase_wrapper
decode,sparse_bf16,3,down_proj,16,2048,64,0.036488684277247024,0.011898224303877214,33554432,canonical_phase_wrapper
decode,sparse_bf16,3,gate_up_proj,16,2048,64,0.05117281336067391,0.029144742932213946,180355072,canonical_phase_wrapper
decode,sparse_bf16,3,o_proj,16,2048,64,0.06408826086524384,0.0031913032944430597,33554432,canonical_phase_wrapper
decode,sparse_bf16,3,qkv_proj,16,2048,64,0.03245270705396743,0.049461341763768964,100663296,canonical_phase_wrapper
