phase,method,layer_bucket,fused_type,blocks,input_tokens,output_tokens,output_rel_mse,output_mse,output_count,backend
decode,w4a16_ours,0,down_proj,16,2048,64,0.007423463971020705,1.9611319666434923e-05,33554432,canonical_phase_wrapper
decode,w4a16_ours,0,gate_up_proj,16,2048,64,0.00484063373039765,0.00025245172004847413,180355072,canonical_phase_wrapper
decode,w4a16_ours,0,o_proj,16,2048,64,0.006616644492875165,8.298120354632843e-06,33554432,canonical_phase_wrapper
decode,w4a16_ours,0,qkv_proj,16,2048,64,0.00119956569671747,0.0014194966642063396,100663296,canonical_phase_wrapper
decode,w4a16_ours,1,down_proj,16,2048,64,0.008244528761275053,0.0001142566694056768,33554432,canonical_phase_wrapper
decode,w4a16_ours,1,gate_up_proj,16,2048,64,0.004790119451719543,0.0007181282127803993,180355072,canonical_phase_wrapper
decode,w4a16_ours,1,o_proj,16,2048,64,0.00991042060648102,7.902329393516538e-05,33554432,canonical_phase_wrapper
decode,w4a16_ours,1,qkv_proj,16,2048,64,0.001971373335481084,0.0027723561609794465,100663296,canonical_phase_wrapper
decode,w4a16_ours,2,down_proj,16,2048,64,0.008685552037378414,0.000385072867402414,33554432,canonical_phase_wrapper
decode,w4a16_ours,2,gate_up_proj,16,2048,64,0.005949101013836084,0.0014545789081874022,180355072,canonical_phase_wrapper
decode,w4a16_ours,2,o_proj,16,2048,64,0.007846996942997128,0.00011638631843879921,33554432,canonical_phase_wrapper
decode,w4a16_ours,2,qkv_proj,16,2048,64,0.0024297425526135096,0.0035123235241674897,100663296,canonical_phase_wrapper
decode,w4a16_ours,3,down_proj,16,2048,64,0.005512530223254603,0.0017975249691062345,33554432,canonical_phase_wrapper
decode,w4a16_ours,3,gate_up_proj,16,2048,64,0.004342855564793189,0.0024734111868256574,180355072,canonical_phase_wrapper
decode,w4a16_ours,3,o_proj,16,2048,64,0.006189760208267598,0.0003082218471490705,33554432,canonical_phase_wrapper
decode,w4a16_ours,3,qkv_proj,16,2048,64,0.002938644758687629,0.0044788039558625314,100663296,canonical_phase_wrapper
