phase,method,layer_bucket,fused_type,blocks,input_tokens,output_tokens,output_rel_mse,output_mse,output_count,backend
prefill,sparse_bf16,0,down_proj,16,2048,64,0.002127724112340449,0.0002203565703435828,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,0,gate_up_proj,16,2048,64,0.050947591278717654,0.0026474140807316196,5771362304,canonical_phase_wrapper
prefill,sparse_bf16,0,o_proj,16,2048,64,0.05661922915179482,6.58654983320961e-05,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,0,qkv_proj,16,2048,64,0.0077103103633262855,0.00886841147428837,3221225472,canonical_phase_wrapper
prefill,sparse_bf16,1,down_proj,16,2048,64,0.09306071010785447,0.001268562483801361,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,1,gate_up_proj,16,2048,64,0.052119089080606015,0.007775186294375724,5771362304,canonical_phase_wrapper
prefill,sparse_bf16,1,o_proj,16,2048,64,0.0847713528245845,0.0006343212230603967,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,1,qkv_proj,16,2048,64,0.016878810752940194,0.02363331548743493,3221225472,canonical_phase_wrapper
prefill,sparse_bf16,2,down_proj,16,2048,64,0.10362549605733358,0.004652749015804147,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,2,gate_up_proj,16,2048,64,0.06696640103387902,0.01666401120357562,5771362304,canonical_phase_wrapper
prefill,sparse_bf16,2,o_proj,16,2048,64,0.08632203279300825,0.0012125068146815465,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,2,qkv_proj,16,2048,64,0.02354833264853863,0.03388994157285197,3221225472,canonical_phase_wrapper
prefill,sparse_bf16,3,down_proj,16,2048,64,0.030534049933116376,0.012559177230286878,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,3,gate_up_proj,16,2048,64,0.052336533016067985,0.029737799043962083,5771362304,canonical_phase_wrapper
prefill,sparse_bf16,3,o_proj,16,2048,64,0.06720468288074839,0.003323624059703434,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,3,qkv_proj,16,2048,64,0.03341547860991364,0.050330955171375535,3221225472,canonical_phase_wrapper
