phase,method,layer_bucket,fused_type,blocks,input_tokens,output_tokens,output_rel_mse,output_mse,output_count,backend
prefill,sparse_nvfp4,0,down_proj,16,2048,64,0.005037513570264964,0.0005217073054559762,1073741824,canonical_phase_wrapper
prefill,sparse_nvfp4,0,gate_up_proj,16,2048,64,0.09952522259071925,0.0051716767969104014,5771362304,canonical_phase_wrapper
prefill,sparse_nvfp4,0,o_proj,16,2048,64,0.11356020454533036,0.00013210528605078764,1073741824,canonical_phase_wrapper
prefill,sparse_nvfp4,0,qkv_proj,16,2048,64,0.016944259793638717,0.01948931507244822,3221225472,canonical_phase_wrapper
prefill,sparse_nvfp4,1,down_proj,16,2048,64,0.1755835789898185,0.002393477771875041,1073741824,canonical_phase_wrapper
prefill,sparse_nvfp4,1,gate_up_proj,16,2048,64,0.10226679185691473,0.015256278888257436,5771362304,canonical_phase_wrapper
prefill,sparse_nvfp4,1,o_proj,16,2048,64,0.16598503273822693,0.0012420213370205602,1073741824,canonical_phase_wrapper
prefill,sparse_nvfp4,1,qkv_proj,16,2048,64,0.035424316898469886,0.04960029882689317,3221225472,canonical_phase_wrapper
prefill,sparse_nvfp4,2,down_proj,16,2048,64,0.19188321471427808,0.008615490129159298,1073741824,canonical_phase_wrapper
prefill,sparse_nvfp4,2,gate_up_proj,16,2048,64,0.12922116200959857,0.03215557142420737,5771362304,canonical_phase_wrapper
prefill,sparse_nvfp4,2,o_proj,16,2048,64,0.16628092215888876,0.0023356348865490872,1073741824,canonical_phase_wrapper
prefill,sparse_nvfp4,2,qkv_proj,16,2048,64,0.047266371239947015,0.06802411803801078,3221225472,canonical_phase_wrapper
prefill,sparse_nvfp4,3,down_proj,16,2048,64,0.06219885206364675,0.025583452188584488,1073741824,canonical_phase_wrapper
prefill,sparse_nvfp4,3,gate_up_proj,16,2048,64,0.10237232018307701,0.05816830634031185,5771362304,canonical_phase_wrapper
prefill,sparse_nvfp4,3,o_proj,16,2048,64,0.13458344830885677,0.006655857414443744,1073741824,canonical_phase_wrapper
prefill,sparse_nvfp4,3,qkv_proj,16,2048,64,0.06670346147571811,0.10046987411139223,3221225472,canonical_phase_wrapper
