batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1229.8992611467838,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1068.006468936801,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1133.1647224724293,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1159.1685209423304,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1556.2723241746426,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1732.098488137126,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,3072.4090225994587,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2572.790050879121,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2616.7023591697216,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2245.8500787615776,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2207.2531767189503,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2418.840691447258,2048,5,ours_max_speed,64,main,prefill_decode,False
