batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1103.1830180436373,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1150.8380267769098,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1109.1128401458263,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1111.595619469881,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1116.9566921889782,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1115.4817678034306,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2523.189278319478,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2505.4493341594934,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2543.0324375629425,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2568.4194527566433,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2537.1197182685137,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2523.216038942337,2048,5,ours_max_speed,64,main,prefill_decode,False
