family,label,dataset,score,speedup,speed_kind
ours,b8o64000,cnn_dm_1000,23.61032474800552,1.0,measured
ours,b8o64000,dsum,21.598181660389766,1.0,measured
ours,b8o64000,IWSLT,19.411758651336964,1.0,measured
ours,b8o64003,cnn_dm_1000,23.9272874575251,1.039736542086927,measured
ours,b8o64003,dsum,21.55216240817209,1.039736542086927,measured
ours,b8o64003,IWSLT,19.75522973711901,1.039736542086927,measured
ours,b8o64004,cnn_dm_1000,23.798308546344927,1.147738759201573,measured
ours,b8o64004,dsum,21.400611305299233,1.147738759201573,measured
ours,b8o64004,IWSLT,21.083232116943357,1.147738759201573,measured
ours,b8o64005,cnn_dm_1000,20.837734982657743,1.1890112841942124,measured
ours,b8o64005,dsum,16.905878820964983,1.1890112841942124,measured
ours,b8o64005,IWSLT,6.987439317418688,1.1890112841942124,measured
ours,b8o64006,cnn_dm_1000,19.266268656956594,1.3159987681762029,measured
ours,b8o64006,dsum,15.867386181824235,1.3159987681762029,measured
ours,b8o64006,IWSLT,7.151955584974809,1.3159987681762029,measured
ours,b8o64007,cnn_dm_1000,16.66491149455221,1.4415646229953964,measured
ours,b8o64007,dsum,14.18585913004713,1.4415646229953964,measured
ours,b8o64007,IWSLT,4.008009470711757,1.4415646229953964,measured
ours,b8o64008,cnn_dm_1000,17.940389532035848,1.4803711147917977,measured
ours,b8o64008,dsum,13.218303377594085,1.4803711147917977,measured
ours,b8o64008,IWSLT,2.7903595157363323,1.4803711147917977,measured
ours,b8o64009,cnn_dm_1000,18.562628851990738,1.5606422772234894,measured
ours,b8o64009,dsum,13.573771019025024,1.5606422772234894,measured
ours,b8o64009,IWSLT,2.6026263063506963,1.5606422772234894,measured
uniform,dense_bf16,IWSLT,19.295782920893743,1.0,baseline_measured
uniform,dense_bf16,cnn_dm_1000,23.670921942521996,1.0,baseline_measured
uniform,dense_bf16,dsum,21.6884274989806,1.0,baseline_measured
uniform,dense_nvfp4,IWSLT,16.83504400661571,0.8030302082879833,baseline_measured
uniform,dense_nvfp4,cnn_dm_1000,24.27316709602392,0.8030302082879833,baseline_measured
uniform,dense_nvfp4,dsum,20.592439983847946,0.8030302082879833,baseline_measured
uniform,sparse_bf16,IWSLT,3.8998158055250642,1.134142934755106,baseline_measured
uniform,sparse_bf16,cnn_dm_1000,15.349945589337494,1.134142934755106,baseline_measured
uniform,sparse_bf16,dsum,13.539484283644915,1.134142934755106,baseline_measured
