phase,method,layer_bucket,fused_type,blocks,input_tokens,output_tokens,output_rel_mse,output_mse,output_count,backend
decode,dense_nvfp4,0,down_proj,16,2048,64,0.015061071386197247,1.7183022738898046e-05,33554432,canonical_phase_wrapper
decode,dense_nvfp4,0,gate_up_proj,16,2048,64,0.008058387298006031,0.0004798339464936622,234881024,canonical_phase_wrapper
decode,dense_nvfp4,0,o_proj,16,2048,64,0.0184611693851804,1.0810865496813094e-05,33554432,canonical_phase_wrapper
decode,dense_nvfp4,0,qkv_proj,16,2048,64,0.001695415864550497,0.003410181091425102,50331648,canonical_phase_wrapper
decode,dense_nvfp4,1,down_proj,16,2048,64,0.016628446123415172,6.504421364184054e-05,33554432,canonical_phase_wrapper
decode,dense_nvfp4,1,gate_up_proj,16,2048,64,0.006428778446539109,0.0009921096277269368,234881024,canonical_phase_wrapper
decode,dense_nvfp4,1,o_proj,16,2048,64,0.034838602525222834,7.845113830740047e-05,33554432,canonical_phase_wrapper
decode,dense_nvfp4,1,qkv_proj,16,2048,64,0.003099370042747235,0.0060306034949917375,50331648,canonical_phase_wrapper
decode,dense_nvfp4,2,down_proj,16,2048,64,0.01612948541802416,0.00013497180452759494,33554432,canonical_phase_wrapper
decode,dense_nvfp4,2,gate_up_proj,16,2048,64,0.008578284075352806,0.0016701888601216655,234881024,canonical_phase_wrapper
decode,dense_nvfp4,2,o_proj,16,2048,64,0.02259712866840529,4.581494878408421e-05,33554432,canonical_phase_wrapper
decode,dense_nvfp4,2,qkv_proj,16,2048,64,0.0036682047705334547,0.007216050655188155,50331648,canonical_phase_wrapper
decode,dense_nvfp4,3,down_proj,16,2048,64,0.008802137658377573,0.0011970991201906145,33554432,canonical_phase_wrapper
decode,dense_nvfp4,3,gate_up_proj,16,2048,64,0.006391080439992015,0.002886396356188925,234881024,canonical_phase_wrapper
decode,dense_nvfp4,3,o_proj,16,2048,64,0.012932814521072868,0.0002628824336738944,33554432,canonical_phase_wrapper
decode,dense_nvfp4,3,qkv_proj,16,2048,64,0.0033588018762036186,0.0070708362475973745,50331648,canonical_phase_wrapper
