phase,method,layer_bucket,fused_type,blocks,input_tokens,output_tokens,output_rel_mse,output_mse,output_count,backend
decode,sparse_nvfp4,0,down_proj,16,2048,64,0.14160696678946175,0.00016155794418182268,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,0,gate_up_proj,16,2048,64,0.07525012756306508,0.004480743397834885,234881024,canonical_phase_wrapper
decode,sparse_nvfp4,0,o_proj,16,2048,64,0.0962611289633348,5.637054165319455e-05,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,0,qkv_proj,16,2048,64,0.009282044292244091,0.018670022262398334,50331648,canonical_phase_wrapper
decode,sparse_nvfp4,1,down_proj,16,2048,64,0.14937500120033712,0.0005842987022788293,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,1,gate_up_proj,16,2048,64,0.06137173171081248,0.009471081700342308,234881024,canonical_phase_wrapper
decode,sparse_nvfp4,1,o_proj,16,2048,64,0.15816011342400138,0.0003561520851462774,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,1,qkv_proj,16,2048,64,0.020431290077906908,0.0397542105820321,50331648,canonical_phase_wrapper
decode,sparse_nvfp4,2,down_proj,16,2048,64,0.15649570817440409,0.001309558711000136,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,2,gate_up_proj,16,2048,64,0.0840337076824336,0.01636133301404438,234881024,canonical_phase_wrapper
decode,sparse_nvfp4,2,o_proj,16,2048,64,0.1449201548738438,0.0002938209349849785,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,2,qkv_proj,16,2048,64,0.022205669526419385,0.0436827402390918,50331648,canonical_phase_wrapper
decode,sparse_nvfp4,3,down_proj,16,2048,64,0.038733954275995,0.005267854739940958,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,3,gate_up_proj,16,2048,64,0.06620925676534128,0.02990201097730148,234881024,canonical_phase_wrapper
decode,sparse_nvfp4,3,o_proj,16,2048,64,0.07271949466978002,0.0014781529343963484,33554432,canonical_phase_wrapper
decode,sparse_nvfp4,3,qkv_proj,16,2048,64,0.022397364798475095,0.047150175778369885,50331648,canonical_phase_wrapper
