phase,method,layer_bucket,fused_type,blocks,input_tokens,output_tokens,output_rel_mse,output_mse,output_count,backend
decode,w4a16_ours,0,down_proj,16,2048,64,0.007943699646583603,9.062885910182672e-06,33554432,canonical_phase_wrapper
decode,w4a16_ours,0,gate_up_proj,16,2048,64,0.0040550782549173695,0.0002414582633524073,234881024,canonical_phase_wrapper
decode,w4a16_ours,0,o_proj,16,2048,64,0.00945573794457572,5.537282550149847e-06,33554432,canonical_phase_wrapper
decode,w4a16_ours,0,qkv_proj,16,2048,64,0.0008571237173625085,0.0017240295759156272,50331648,canonical_phase_wrapper
decode,w4a16_ours,1,down_proj,16,2048,64,0.008617873248566305,3.370987190010055e-05,33554432,canonical_phase_wrapper
decode,w4a16_ours,1,gate_up_proj,16,2048,64,0.003231392959298271,0.0004986788847288283,234881024,canonical_phase_wrapper
decode,w4a16_ours,1,o_proj,16,2048,64,0.017888200985648896,4.0281458723256947e-05,33554432,canonical_phase_wrapper
decode,w4a16_ours,1,qkv_proj,16,2048,64,0.001532129382878387,0.0029811428399095044,50331648,canonical_phase_wrapper
decode,w4a16_ours,2,down_proj,16,2048,64,0.00860715227437132,7.202479460488576e-05,33554432,canonical_phase_wrapper
decode,w4a16_ours,2,gate_up_proj,16,2048,64,0.004328744123199747,0.0008428049420347504,234881024,canonical_phase_wrapper
decode,w4a16_ours,2,o_proj,16,2048,64,0.011443787148598472,2.320190895943597e-05,33554432,canonical_phase_wrapper
decode,w4a16_ours,2,qkv_proj,16,2048,64,0.0018408570396775538,0.0036213130068366204,50331648,canonical_phase_wrapper
decode,w4a16_ours,3,down_proj,16,2048,64,0.004865844492847362,0.0006617594938234106,33554432,canonical_phase_wrapper
decode,w4a16_ours,3,gate_up_proj,16,2048,64,0.0032095166585208337,0.0014495103410549096,234881024,canonical_phase_wrapper
decode,w4a16_ours,3,o_proj,16,2048,64,0.006471203233033195,0.00013153870349924546,33554432,canonical_phase_wrapper
decode,w4a16_ours,3,qkv_proj,16,2048,64,0.0016855336039986724,0.0035483284048799155,50331648,canonical_phase_wrapper
