policy_id,split,policy_kind,sample_count,token_count,avg_nll,target_delta_nll,elapsed_seconds,decode_transitions
p00,train,controlled,100,6400,1.8966257399587396,0.0,37.772796204313636,13
p01,train,controlled,100,6400,1.981418702174076,0.08479296221533628,39.1947017442435,13
p02,train,controlled,100,6400,2.528832424845057,0.6322066848863173,34.04347719438374,13
p03,train,controlled,100,6400,3.366095310529837,1.4694695705710974,49.44787164404988,13
p04,train,controlled,100,6400,1.9448008384827664,0.048175098524026794,38.768152825534344,13
p05,train,controlled,100,6400,1.9069243244889185,0.010298584530178845,47.332851730287075,13
p06,train,controlled,100,6400,2.087218088968151,0.19059234900941147,72.45664614625275,13
p07,train,controlled,100,6400,2.0311021874187927,0.13447644746005305,56.10805158689618,13
p08,train,controlled,100,6400,2.699823591001352,0.8031978510426125,84.50512376986444,13
p09,train,controlled,100,6400,1.90334183455711,0.0067160945983704146,42.899435728788376,13
p10,train,controlled,100,6400,1.9410461181826617,0.044420378223922086,50.054206661880016,13
p11,train,controlled,100,6400,2.016246755030143,0.11962101507140344,62.673747815191746,13
p12,train,controlled,100,6400,2.066854250825218,0.1702285108664785,73.67656922526658,13
p13,train,controlled,100,6400,1.9015165644191974,0.004890824460457743,45.509220058098435,13
p14,train,controlled,100,6400,1.9204073819838885,0.023781642025148875,53.07914884574711,13
p15,train,controlled,100,6400,2.0265567666222766,0.12993102666353695,70.70445720851421,13
p16,train,controlled,100,6400,1.9513631002645102,0.05473736030577059,52.472457971423864,13
p17,train,controlled,100,6400,1.8986760729002947,0.0020503329415550997,41.4844640865922,13
p18,train,controlled,100,6400,1.9129398406736267,0.016314100714887037,64.65520487725735,13
p19,train,controlled,100,6400,2.141084796190846,0.2444590562321063,72.37094724364579,13
p20,train,controlled,100,6400,1.9496238175526175,0.05299807759387787,58.520620711147785,13
p21,train,controlled,100,6400,1.9083378055100784,0.011712065551338746,47.09583540633321,13
p22,train,controlled,100,6400,2.0115134083321817,0.11488766837344211,55.71064216457307,13
p23,train,controlled,100,6400,2.17135642040731,0.2747306804485705,53.3720767814666,13
p24,train,controlled,100,6400,2.0119609029161802,0.11533516295744062,69.46434846147895,13
p25,train,controlled,100,6400,1.9365937570579985,0.0399680170992589,61.053388031199574,13
p26,train,controlled,100,6400,1.9372911719060801,0.040665431947340513,67.80091008357704,13
p27,train,controlled,100,6400,2.0572900486174905,0.16066430865875092,59.42583652026951,13
p28,train,controlled,100,6400,2.0135440655945755,0.11691832563583593,57.39146891608834,13
p29,train,controlled,100,6400,1.8994973189705306,0.0028715790117910256,41.35756845027208,13
p30,train,controlled,100,6400,1.9123328198004175,0.01570707984167785,45.098614452406764,13
p31,train,controlled,100,6400,2.038276866121403,0.14165112616266318,47.135639019310474,13
p32,train,controlled,100,6400,2.0779467920263555,0.18132105206761584,72.9111494794488,13
p33,train,controlled,100,6400,1.9726356041029791,0.07600986414423949,57.611810483038425,13
p34,train,controlled,100,6400,1.9117632481814149,0.015137508222675233,55.04516811668873,13
p35,train,controlled,100,6400,2.021500890605295,0.1248751506465553,51.446357203647494,13
p36,train,controlled,100,6400,1.950854573602848,0.054228833644108354,48.495439713820815,13
p37,train,balanced_mixed,100,6400,2.004669359973137,0.10804362001439727,68.36811908334494,13
p38,train,balanced_mixed,100,6400,1.9159587074059365,0.019332967447196925,58.997730342671275,13
p39,train,balanced_mixed,100,6400,1.9876754117587947,0.09104967180005508,49.91463503241539,13
p40,train,balanced_mixed,100,6400,2.0344626592151216,0.13783691925638197,56.256866969168186,13
p41,train,balanced_mixed,100,6400,2.194167131949671,0.2975413919909313,57.18871538154781,13
p42,train,balanced_mixed,100,6400,1.9042400437114737,0.007614303752734086,44.54369757510722,13
p43,train,balanced_mixed,100,6400,1.9898143364757397,0.09318859651700007,52.07255203090608,13
p44,train,balanced_mixed,100,6400,2.02564771637908,0.1290219764203402,63.602665450423956,13
p45,train,balanced_mixed,100,6400,2.1347116531797834,0.23808591322104378,51.97942226938903,13
p46,train,balanced_mixed,100,6400,2.039084597427057,0.14245885746831743,54.44166210107505,13
p47,train,balanced_mixed,100,6400,1.916226759851902,0.01960101989316243,43.3711276575923,13
p48,train,balanced_mixed,100,6400,2.1511951971026373,0.25456945714389767,51.70863934233785,13
p49,train,balanced_mixed,100,6400,1.9654866181845916,0.06886087822585196,49.944923132658005,13
p50,train,balanced_mixed,100,6400,2.0062276030858306,0.10960186312709097,52.29969343356788,13
p51,train,balanced_mixed,100,6400,1.9923288441957763,0.09570310423703665,62.823993019759655,13
p52,train,balanced_mixed,100,6400,2.1182906802214423,0.22166494026270267,63.00456643663347,13
p53,train,balanced_mixed,100,6400,2.020913942916483,0.12428820295774323,51.927392423152924,13
p54,holdout,balanced_mixed,100,6400,2.0424561232883613,0.14583038332962173,59.70811256766319,13
p55,holdout,balanced_mixed,100,6400,1.9907860614126982,0.09416032145395858,49.25351116806269,13
p56,holdout,balanced_mixed,100,6400,2.1404228459701007,0.24379710601136106,54.760025484487414,13
p57,holdout,balanced_mixed,100,6400,2.047075703154086,0.15044996319534643,61.42131390795112,13
