batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1140.8566012978554,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1140.2116753160954,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1171.9707883894444,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1140.3494607657194,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1140.1913668960333,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1172.765327617526,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,2740.8002633601427,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2953.833904117346,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2573.256069794297,2048,2,ours_max_speed,64,main,prefill_decode,False
8,2570.619311183691,2048,3,ours_max_speed,64,main,prefill_decode,False
8,2568.534754216671,2048,4,ours_max_speed,64,main,prefill_decode,False
8,2726.467415690422,2048,5,ours_max_speed,64,main,prefill_decode,False
