batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,715.261472389102,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,881.7795682698488,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,712.1895942837,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,711.0404539853334,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,722.00489602983,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,759.7004920244217,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,1583.7565083056688,2048,0,ours_max_speed,64,main,prefill_decode,True
8,1584.8229136317968,2048,1,ours_max_speed,64,main,prefill_decode,False
8,1566.5640477091074,2048,2,ours_max_speed,64,main,prefill_decode,False
8,1599.6632799506187,2048,3,ours_max_speed,64,main,prefill_decode,False
8,1591.061806306243,2048,4,ours_max_speed,64,main,prefill_decode,False
8,1569.5534721016884,2048,5,ours_max_speed,64,main,prefill_decode,False
