policy_id,split,policy_kind,sample_count,token_count,avg_nll,target_delta_nll,elapsed_seconds
p00,train,controlled,100,204800,1.983390648407158,0.0,49.63982103392482
p01,train,controlled,100,204800,2.0798909906011733,0.09650034219401538,42.07890765555203
p02,train,controlled,100,204800,2.662586900595238,0.6791962521880801,45.898600935935974
p03,train,controlled,100,204800,3.542847866593491,1.5594572181863329,46.93638121522963
p04,train,controlled,100,204800,2.0331763449420226,0.04978569653486464,53.553936867043376
p05,train,controlled,100,204800,1.9899007458545368,0.006510097447378849,50.620516346767545
p06,train,controlled,100,204800,1.9892530728769648,0.005862424469806893,58.00216797553003
p07,train,controlled,100,204800,2.1482382866017606,0.16484763819460269,52.2285660803318
p08,train,controlled,100,204800,1.989116130049195,0.005725481642037122,52.09689457155764
p09,train,controlled,100,204800,1.9878759674575637,0.004485319050405723,51.165901804342866
p10,train,controlled,100,204800,1.9977801905373003,0.014389542130142319,51.71319368481636
p11,train,controlled,100,204800,2.0553435470706405,0.07195289866348253,51.83758277259767
p12,train,controlled,100,204800,1.9862887984435493,0.002898150036391378,53.20747770741582
p13,train,controlled,100,204800,1.98631672155145,0.0029260731442919408,54.30934553593397
p14,train,controlled,100,204800,1.99054587377326,0.007155225366102025,54.52793766371906
p15,train,controlled,100,204800,2.119985967036925,0.13659531862976704,50.278196105733514
p16,train,controlled,100,204800,1.9874224096772255,0.0040317612700675465,51.46228724718094
p17,train,controlled,100,204800,1.985828433410983,0.002437785003825077,50.74479387700558
p18,train,controlled,100,204800,1.9880918883918202,0.004701239984662209,50.254616318270564
p19,train,controlled,100,204800,2.1750927744520867,0.19170212604492876,48.470516197383404
p20,train,controlled,100,204800,1.9887267467899685,0.005336098382810572,51.74303893558681
p21,train,controlled,100,204800,2.006896994385798,0.023506345978639986,48.89251787215471
p22,train,controlled,100,204800,2.201816020803549,0.21842537239639115,48.79868467897177
p23,train,controlled,100,204800,2.5589467128111165,0.5755560644039586,49.87662539817393
p24,train,controlled,100,204800,1.996803828992063,0.013413180584905149,49.93210028856993
p25,train,controlled,100,204800,2.0025153119142685,0.019124663507110506,47.6967665720731
p26,train,controlled,100,204800,2.0778138124758017,0.0944231640686437,56.715178184211254
p27,train,controlled,100,204800,2.2245958017849627,0.2412051533778048,49.78508772701025
p28,train,controlled,100,204800,1.993496815877005,0.01010616746984705,51.34730628505349
p29,train,controlled,100,204800,2.006660902425671,0.023270254018513237,48.3928543869406
p30,train,controlled,100,204800,2.126583187461383,0.14319253905422502,50.457708075642586
p31,train,controlled,100,204800,2.2667398821330895,0.28334923372593157,49.24176892451942
p32,train,controlled,100,204800,1.9957971173223812,0.012406468915223234,52.404451010748744
p33,train,controlled,100,204800,2.0119236482884677,0.02853299988130975,48.489875853061676
p34,train,controlled,100,204800,2.133943900868588,0.15055325246143014,51.98997205495834
p35,train,controlled,100,204800,2.2852654995055546,0.3018748510983966,48.56641952879727
p36,train,controlled,100,204800,1.9966764712691536,0.013285822861995644,51.27144798822701
p37,train,balanced_mixed,100,204800,2.0376126621042268,0.054222013697068805,65.56324462220073
p38,train,balanced_mixed,100,204800,2.0764422275776497,0.09305157917049178,58.14958708547056
p39,train,balanced_mixed,100,204800,2.104642638405679,0.12125198999852116,57.88403690420091
p40,train,balanced_mixed,100,204800,2.2452197681268276,0.2618291197196696,51.30631909519434
p41,train,balanced_mixed,100,204800,2.2948119079083247,0.3114212595011667,56.18568593636155
p42,train,balanced_mixed,100,204800,2.041997356065963,0.05860670765880527,51.795936703681946
p43,train,balanced_mixed,100,204800,2.0579641951780743,0.07457354677091632,53.902970377355814
p44,train,balanced_mixed,100,204800,2.1949402384485386,0.21154959004138063,66.53036591596901
