policy_id,policy_json,raw_predicted_linear_ms,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,count_w4a16_ours,e2e_median_ms,raw_runs_ms,split,dense_scaled_prediction_ms,monotone_prediction_ms
p00,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p00.json,1091.376545363557,128,0,0,0,0,1294.8220781981945,"[1294.8220781981945, 1294.1414304077625, 1280.9419389814138, 1311.1598119139671, 1295.96047103405]",train,1294.8220781981945,1294.8220781981945
p01,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p01.json,527.7262428767209,0,128,0,0,0,700.1333590596914,"[708.4701061248779, 689.1016252338886, 695.8180367946625, 700.1333590596914, 704.2670622467995]",train,626.1006738913724,700.1333590596914
p02,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p02.json,529.6663221484725,0,0,128,0,0,1026.5022795647383,"[1113.6906761676073, 1061.313034966588, 994.3298883736134, 993.4512451291084, 1026.5022795647383]",train,628.4024069505906,1026.5022795647383
p03,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p03.json,453.7057550525517,0,0,0,128,0,644.4332432001829,"[639.6311316639185, 644.4332432001829, 661.3465808331966, 630.9509128332138, 663.2640603929758]",train,538.2818891823719,644.4332432001829
p04,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p04.json,1043.4185847781043,0,0,0,0,128,1184.6411116421223,"[1181.67445063591, 1184.304716065526, 1184.6411116421223, 1186.2373035401106, 1184.9515940994024]",train,1237.9241849319276,1256.9017335772514
p37,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p37.json,1029.0896636911375,98,6,5,3,16,1329.1623555123806,"[1286.8386879563332, 1332.9253252595663, 1342.0226573944092, 1329.1623555123806, 1320.770651102066]",train,1220.9241829995203,1256.9017335772514
p39,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p39.json,858.3575495629684,47,29,12,6,34,1216.2342015653849,"[1216.2342015653849, 1216.206580400467, 1203.5507820546627, 1233.049051836133, 1235.242534428835]",train,1018.3655777502518,1216.2342015653849
p42,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p42.json,1002.72505543846,92,13,6,4,13,1324.036629870534,"[1343.8136484473944, 1324.036629870534, 1323.4469685703516, 1318.2477038353682, 1337.1296040713787]",holdout,1189.6448990588513,1250.6218163187373
p45,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p45.json,715.5196073537402,22,35,20,12,39,1090.5132070183754,"[1090.7779037952423, 1089.0073217451572, 1090.5132070183754, 1096.9375483691692, 1080.412331968546]",holdout,848.900948917408,1133.7832109406836
p52,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p52.json,1026.5157634656496,106,9,2,3,8,1265.7722998410463,"[1262.2803002595901, 1265.7722998410463, 1269.4582641124725, 1258.2550290971994, 1266.1610711365938]",holdout,1217.8704772430613,1256.2886434720308
p60,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p60.json,729.143438893619,33,32,17,18,28,1105.3997557610273,"[1103.8413792848587, 1159.5766637474298, 1106.029998511076, 1101.4054156839848, 1105.3997557610273]",holdout,865.0644242481075,1141.6473567635187
p68,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p68.json,915.7608666236004,61,25,11,9,22,1234.5125954598188,"[1266.3324102759361, 1239.6396156400442, 1234.4923857599497, 1234.5125954598188, 1227.8871443122625]",holdout,1086.469553969713,1229.9073833570546
