policy_id,policy_json,raw_predicted_linear_ms,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,count_w4a16_ours
p00,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p00.json,1091.376545363557,128,0,0,0,0
p01,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p01.json,527.7262428767209,0,128,0,0,0
p02,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p02.json,529.6663221484725,0,0,128,0,0
p03,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p03.json,453.7057550525517,0,0,0,128,0
p04,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p04.json,1043.4185847781043,0,0,0,0,128
p37,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p37.json,1029.0896636911375,98,6,5,3,16
p39,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p39.json,858.3575495629684,47,29,12,6,34
p42,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p42.json,1002.72505543846,92,13,6,4,13
p45,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p45.json,715.5196073537402,22,35,20,12,39
p52,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p52.json,1026.5157634656496,106,9,2,3,8
p60,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p60.json,729.143438893619,33,32,17,18,28
p68,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p68.json,915.7608666236004,61,25,11,9,22
