benchmark_level,shape_index,m,n,k,gpu,warmup,iters,bias,torch_version,cuda_version,kernel,status,latency_ms,tflops,error_msg
module_forward,0,16384,6144,4096,1,10,40,False,2.9.0+cu128,12.8,dense_bf16,pass,3.558458,231.739037,
module_forward,0,16384,6144,4096,1,10,40,False,2.9.0+cu128,12.8,dense_nvfp4,pass,2.237946,368.477869,
module_forward,0,16384,6144,4096,1,10,40,False,2.9.0+cu128,12.8,sparse_bf16,pass,1.847074,446.454175,
module_forward,0,16384,6144,4096,1,10,40,False,2.9.0+cu128,12.8,sparse_nvfp4,pass,1.995825,413.179415,
module_forward,0,16384,6144,4096,1,10,40,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,3.727000,221.259384,
module_forward,1,16384,4096,4096,1,10,40,False,2.9.0+cu128,12.8,dense_bf16,pass,2.446294,224.730031,
module_forward,1,16384,4096,4096,1,10,40,False,2.9.0+cu128,12.8,dense_nvfp4,pass,1.980634,277.565631,
module_forward,1,16384,4096,4096,1,10,40,False,2.9.0+cu128,12.8,sparse_bf16,pass,1.269165,433.163461,
module_forward,1,16384,4096,4096,1,10,40,False,2.9.0+cu128,12.8,sparse_nvfp4,pass,1.820102,302.046772,
module_forward,1,16384,4096,4096,1,10,40,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,2.392269,229.805203,
module_forward,2,16384,28672,4096,1,10,40,False,2.9.0+cu128,12.8,dense_bf16,pass,15.869431,242.497078,
module_forward,2,16384,28672,4096,1,10,40,False,2.9.0+cu128,12.8,dense_nvfp4,pass,4.867897,790.544843,
module_forward,2,16384,28672,4096,1,10,40,False,2.9.0+cu128,12.8,sparse_bf16,pass,10.683138,360.220992,
module_forward,2,16384,28672,4096,1,10,40,False,2.9.0+cu128,12.8,sparse_nvfp4,pass,3.910486,984.095151,
module_forward,2,16384,28672,4096,1,10,40,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,16.688426,230.596378,
module_forward,3,16384,4096,14336,1,10,40,False,2.9.0+cu128,12.8,dense_bf16,pass,8.399278,229.084599,
module_forward,3,16384,4096,14336,1,10,40,False,2.9.0+cu128,12.8,dense_nvfp4,pass,6.597158,291.662784,
module_forward,3,16384,4096,14336,1,10,40,False,2.9.0+cu128,12.8,sparse_bf16,pass,4.287334,448.797675,
module_forward,3,16384,4096,14336,1,10,40,False,2.9.0+cu128,12.8,sparse_nvfp4,pass,6.221545,309.271316,
module_forward,3,16384,4096,14336,1,10,40,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,8.149673,236.100931,
