family,policy,point_index,speed_ms,measured_speedup,actual_nll,actual_delta_nll,predicted_delta_nll,delta_nll_error,predicted_speedup,wikitext_word_ppl,winogrande_acc,arc_easy_acc,arc_challenge_acc_norm,mmlu_acc
ours,point_000,0,1135.020175948739,1.0,1.9755314327737294,0.0,0.0,0.0,1.0,,,,,
ours,point_005,5,1109.629925340414,1.0228817284289946,1.9812295556718704,0.005698122898140978,0.004336488730742407,0.0013616341673985712,1.053054703361086,,,,,
ours,point_010,10,994.436563923955,1.141370115626133,1.9863899219180332,0.010858489144303762,0.018584951703181744,-0.007726462558877982,1.1848804247675258,12.426674199148637,0.6866614048934491,0.7243265993265994,0.44197952218430037,0.46047571571001283
ours,point_015,15,693.1970193982124,1.6373702485537056,2.0034682630612037,0.02793683028747429,0.08301278427421178,-0.055075953986737494,1.926078412194719,12.758392317521523,0.6764009471191792,0.7264309764309764,0.431740614334471,0.4465175900868822
ours,point_016,16,666.9983249157667,1.701683697769522,2.0150940745694776,0.0395626417957482,0.11212920860919652,-0.07256656681344832,2.062519039824722,12.92702429233584,0.6795580110497238,0.7167508417508418,0.41467576791808874,0.44772824383990883
ours,point_017,17,652.0115453749895,1.7407976653173498,2.018362464997442,0.04283103222371265,0.15115760718587817,-0.10832657496216552,2.11843773098831,12.949856899964677,0.6732438831886346,0.7058080808080808,0.43686006825938567,0.44352656316763994
ours,point_018,18,629.50524315238,1.803035301604299,2.0278303902996093,0.052298957525879874,0.2038149703448931,-0.15151601281901322,2.1809813893669343,,,,,
ours,point_019,19,608.0095395445824,1.8667802100587167,2.0865255424184803,0.11099410964475087,0.2762962819873019,-0.165302172342551,2.260562666202366,,,,,
ours,point_020,20,593.7461946159601,1.9116251796491586,2.1366223068716694,0.16109087409793998,0.37293803084384697,-0.21184715674590698,2.359556580884546,15.38458968988823,0.6424625098658248,0.688973063973064,0.4129692832764505,0.4139011536818117
ours,point_024,24,545.2521443367004,2.081642755077088,2.716347743746457,0.7408163109727277,0.9893389289993748,-0.2485226180266471,2.8052906875502934,34.084739355395776,0.5674822415153907,0.5315656565656566,0.2773037542662116,0.23508047286711295
