point_index,quality_ratio,predicted_delta_nll,raw_predicted_linear_ms,raw_linear_speedup_vs_dense,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,policy_json
0,0.0,0.0,1004.2719049031714,1.0,128,0,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_000.json
1,0.001,0.0012389967802121163,985.8366650178998,1.0187000956035013,126,2,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_001.json
2,0.0013503140378698735,0.0018584951703181742,976.619045075264,1.0283148889706286,125,3,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_002.json
3,0.0018233480008684403,0.0024779935604242326,967.4014251326284,1.0381129061966061,124,4,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_003.json
4,0.0024620924014946257,0.0030974919505302903,962.89258259917,1.0429739755521894,123,5,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_004.json
5,0.0033245979322709418,0.004336488730742407,953.6749626565343,1.053054703361086,122,6,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_005.json
6,0.004489251258218608,0.005575485510954522,944.4573427138982,1.063332200920156,121,7,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_006.json
7,0.006061898993497572,0.007433980681272697,930.530945362085,1.079246112027357,120,8,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_007.json
8,0.008185467307069028,0.00991197424169693,912.0957054768135,1.1010597888717952,118,10,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_008.json
9,0.011052951411260215,0.013628964582333277,884.4428456489061,1.1354853621619247,115,13,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_009.json
10,0.014924955450518298,0.018584951703181744,847.5723658783629,1.1848804247675258,111,17,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_010.json
11,0.02015337685941733,0.024779935604242322,801.4842661651842,1.2530151211929008,106,22,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_011.json
12,0.027213387683753074,0.03345291306572714,736.9609265667339,1.362720693458952,99,29,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_012.json
13,0.0367466194073669,0.04522338247774224,650.6931138038678,1.543387940641215,83,45,0,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_013.json
14,0.04961947603002903,0.06133034062049975,561.409853937906,1.7888391125643612,63,64,1,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_014.json
15,0.06700187503509587,0.08301278427421178,521.4075909603432,1.926078412194719,45,80,3,0,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_015.json
16,0.09047357242349298,0.11212920860919652,486.91521654438486,2.062519039824722,24,96,6,2,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_016.json
17,0.12216773489967918,0.15115760718587817,474.06250852351025,2.11843773098831,0,119,7,2,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_017.json
18,0.16496480740980207,0.2038149703448931,460.46789294001167,2.1809813893669343,1,108,17,2,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_018.json
19,0.22275429519995588,0.2762962819873019,444.2574939053996,2.260562666202366,0,98,26,4,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_019.json
20,0.3007882518043099,0.37293803084384697,425.61891206130434,2.359556580884546,0,84,37,7,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_020.json
21,0.40615859883769795,0.5030326927661192,407.3338199413624,2.465476362968685,0,60,53,15,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_021.json
22,0.5484416576121021,0.6795897339463457,386.22533024923183,2.600222787705594,0,34,62,32,0,/root/wja/project/my/cospaq/fake/artifacts/debug/054_llama2_prefill_canonical_sparse_quality_recalibration/llama2_7b_chat/pareto/policies/point_022.json
