policy_id,quality_budget,predicted_delta_nll,raw_predicted_linear_ms,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,decode_count_dense_bf16,decode_count_dense_nvfp4,decode_count_sparse_bf16,decode_count_sparse_nvfp4,decode_count_w4a16_ours,raw_speedup_vs_dense
point_000,0.0,0.0,2018.062683765508,128,0,0,0,0,128,0,0,0,0,1.0
point_001,0,0.0,1892.520634315741,80,48,0,0,0,128,0,0,0,0,1.0663358946652424
point_002,0.01,0.001830233880300655,1792.0704387000792,75,53,0,0,0,123,0,0,0,5,1.1261067869795105
point_003,0.02,0.0029193262109224564,1691.6202430844173,70,58,0,0,0,118,0,0,0,10,1.1929761966467554
point_004,0.04,0.00821955234291661,1490.7198518530936,60,68,0,0,0,108,0,0,0,20,1.3537504590529748
point_005,0.07,0.019051284516168658,1223.6499625835597,45,80,3,0,0,93,0,0,0,35,1.64921566254508
point_006,0.1,0.039423814649389266,1094.592040711773,30,80,16,2,0,78,0,0,0,50,1.843666506521677
point_007,0.15,0.07789759520314035,915.3667138815729,16,69,27,16,0,53,0,0,0,75,2.2046494078946792
point_008,0.22,0.13015410266007602,817.1378960655086,16,41,32,39,0,32,0,0,0,96,2.469672124475455
point_009,0.32,0.21331661455026413,789.1024054601984,1,34,47,46,0,32,0,0,0,96,2.557415450518858
point_010,0.45,0.3407016030793237,761.4717823322576,0,16,48,64,0,32,0,0,0,96,2.6502133507620305
point_011,0.65,0.37832787985828153,750.0823423322577,0,0,64,64,0,32,0,0,0,96,2.690454860583271
