policy_id,kind,dataset,samples,predicted_delta_nll,measured_speedup_vs_dense,rougeL_percent,bert_score_percent,sacre_bleu,empty_predictions
p00,uniform,cnn_dm_1000,1000,,1.0,19.389441069545747,83.58247647285462,,0
p00,uniform,dsum,1500,,1.0,13.481525557655804,78.27815932830174,,0
p00,uniform,IWSLT,333,,1.0,28.36945945858603,,10.777117680314003,0
p01,uniform,cnn_dm_1000,1000,,0.8303303236898546,17.108201528992854,84.44395770430565,,0
p01,uniform,dsum,1500,,0.8303303236898546,9.535346405387218,81.73196359475455,,0
p01,uniform,IWSLT,333,,0.8303303236898546,28.53022629737238,,10.513537636643044,0
p02,uniform,cnn_dm_1000,1000,,1.1320206741569812,6.757145284974706,78.49686987996101,,0
p02,uniform,dsum,1500,,1.1320206741569812,5.108351121709262,79.54650212128958,,0
p02,uniform,IWSLT,333,,1.1320206741569812,13.489186193289832,,3.0383793044828002,0
p03,uniform,cnn_dm_1000,1000,,0.7917320109647461,4.249054707468366,77.45050468444823,,0
p03,uniform,dsum,1500,,0.7917320109647461,0.4073001137418995,78.41815919876099,,0
p03,uniform,IWSLT,333,,0.7917320109647461,0.4438761380199755,,0.05417525906868565,0
p04,uniform,cnn_dm_1000,1000,,1.1005513916571275,17.49988728853111,83.95341525077819,,0
p04,uniform,dsum,1500,,1.1005513916571275,9.751188582909416,80.92433616320292,,0
p04,uniform,IWSLT,333,,1.1005513916571275,28.469882239210055,,10.563540333149085,0
point_000,ours,cnn_dm_1000,1000,0.0,1.0,19.389441069545747,83.58247984647751,,0
point_000,ours,dsum,1500,0.0,1.0,13.481525557655804,78.2781616806984,,0
point_000,ours,IWSLT,333,0.0,1.0,28.36945945858603,,10.777117680314003,0
point_001,ours,cnn_dm_1000,1000,0.0,1.0296508906298492,18.646976547877735,83.93301139473915,,0
point_001,ours,dsum,1500,0.0,1.0296508906298492,11.840791399316917,79.20228569904964,,0
point_001,ours,IWSLT,333,0.0,1.0296508906298492,32.421612359603294,,11.637852920373481,0
point_002,ours,cnn_dm_1000,1000,0.001830233880300655,1.0337294000262744,18.586788082595284,83.9383052110672,,0
point_002,ours,dsum,1500,0.001830233880300655,1.0337294000262744,11.249404794617593,79.4402827421824,,0
point_002,ours,IWSLT,333,0.001830233880300655,1.0337294000262744,29.780292795673695,,10.944506662313282,0
point_003,ours,cnn_dm_1000,1000,0.0029193262109224564,1.076660667590103,18.2954154899491,83.94589917659759,,0
point_003,ours,dsum,1500,0.0029193262109224564,1.076660667590103,9.949292199806301,80.46536173820496,,0
point_003,ours,IWSLT,333,0.0029193262109224564,1.076660667590103,30.494027850095407,,11.115958264399886,0
point_004,ours,cnn_dm_1000,1000,0.00821955234291661,1.1513382103174443,18.688912580427118,83.8656574189663,,0
point_004,ours,dsum,1500,0.00821955234291661,1.1513382103174443,10.923214196416414,80.21754329999288,,0
point_004,ours,IWSLT,333,0.00821955234291661,1.1513382103174443,28.690926108388375,,10.763936867200105,0
point_005,ours,cnn_dm_1000,1000,0.019051284516168658,1.2622084500103583,18.83737779698388,83.6607476592064,,0
point_005,ours,dsum,1500,0.019051284516168658,1.2622084500103583,11.480470991847389,79.85620333751042,,0
point_005,ours,IWSLT,333,0.019051284516168658,1.2622084500103583,28.182672849268247,,10.550166706755258,0
point_006,ours,cnn_dm_1000,1000,0.039423814649389266,1.3209908794374485,16.77926294009014,84.17561638355255,,0
point_006,ours,dsum,1500,0.039423814649389266,1.3209908794374485,9.305152844714685,81.20937754710515,,0
point_006,ours,IWSLT,333,0.039423814649389266,1.3209908794374485,28.491503771326276,,10.31228473819827,0
point_007,ours,cnn_dm_1000,1000,0.07789759520314035,0.7391269061517438,17.36633207459162,84.92303540706635,,0
point_007,ours,dsum,1500,0.07789759520314035,0.7391269061517438,8.075358778663198,82.33634700775147,,0
point_007,ours,IWSLT,333,0.07789759520314035,0.7391269061517438,28.178644769964066,,9.966774518448748,0
point_008,ours,cnn_dm_1000,1000,0.13015410266007602,1.3873399560309976,8.218140002971362,80.1839396238327,,0
point_008,ours,dsum,1500,0.13015410266007602,1.3873399560309976,6.3715419966055205,80.7593873699506,,0
point_008,ours,IWSLT,333,0.13015410266007602,1.3873399560309976,19.40040844532905,,5.587378353634497,0
point_009,ours,cnn_dm_1000,1000,0.21331661455026413,1.3898481831050813,10.267133959271767,81.04944870471954,,0
point_009,ours,dsum,1500,0.21331661455026413,1.3898481831050813,5.970827135664267,80.48337394396464,,0
point_009,ours,IWSLT,333,0.21331661455026413,1.3898481831050813,21.599805428566103,,6.711961065535733,0
point_010,ours,cnn_dm_1000,1000,0.3407016030793237,1.362255116184298,14.623074957023618,83.01602869033815,,0
point_010,ours,dsum,1500,0.3407016030793237,1.362255116184298,4.616126032085197,79.87379549741746,,0
point_010,ours,IWSLT,333,0.3407016030793237,1.362255116184298,8.733336626050374,,0.9098435955292778,0
point_011,ours,cnn_dm_1000,1000,0.37832787985828153,1.420391083187566,14.594762054492454,83.04250733852386,,0
point_011,ours,dsum,1500,0.37832787985828153,1.420391083187566,4.21360119411915,79.68840205669403,,0
point_011,ours,IWSLT,333,0.37832787985828153,1.420391083187566,9.717421430555516,,1.2885448827854236,0
