family,policy,speed_ms,speedup,wikitext,winogrande,arc_easy,arc_challenge,mmlu
ours,point_000,1087.526896968484,1.0,9.4250243065713,0.7348066298342542,0.8198653198653199,0.5563139931740614,0.6840193704600485
ours,point_003,965.8814575523138,1.1259424109087233,9.605480988957245,0.7403314917127072,0.8181818181818182,0.5503412969283277,0.6848027346531833
ours,point_005,754.0214471518993,1.4423023391129075,9.796712512060223,0.7419100236779794,0.8034511784511784,0.5255972696245734,0.671343113516593
ours,point_007,685.8682502061129,1.5856207028706564,10.100932472516483,0.7379636937647988,0.7908249158249159,0.514505119453925,0.6650049850448654
ours,point_009,569.5047993212938,1.9096009344689313,12.288727460695636,0.7063930544593529,0.7781986531986532,0.492320819112628,0.559322033898305
ours,point_011,514.473233371973,2.113864874641949,15.280410123433153,0.6724546172059984,0.7184343434343434,0.4061433447098976,0.41817404928072927
ours,point_013,482.0780660957098,2.2559144948788665,26.780315307973186,0.6322020520915549,0.6325757575757576,0.3412969283276451,0.3265916536105968
ours,point_014,481.163227930665,2.260203676921868,31.94393249644104,0.6108918705603789,0.6127946127946128,0.3302047781569966,0.31142287423443954
uniform,dense_bf16,1088.9263097196817,0.9987148691893044,9.4250243065713,0.7348066298342542,0.8198653198653199,0.5563139931740614,0.6840193704600485
uniform,dense_nvfp4,618.8402734696865,1.7573628343077703,10.375678924739871,0.7205998421468035,0.7929292929292929,0.5110921501706485,0.6350235009257941
uniform,sparse_bf16,708.1749029457569,1.535675568909258,21.435956876567882,0.6606156274664562,0.6818181818181818,0.3873720136518771,0.42963965247115793
uniform,sparse_nvfp4,564.2376132309437,1.9274271538564671,65.00197721594114,0.5327545382794001,0.45664983164983164,0.2636518771331058,0.23878364905284147
uniform,w4a16_ours,1114.7319972515106,0.9755949408915293,9.93508159442293,0.7308602999210734,0.8093434343434344,0.5366894197952219,0.6620139581256231
