policy_id,policy_json,raw_predicted_linear_ms,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,count_w4a16_ours,e2e_median_ms,raw_runs_ms,split,dense_scaled_prediction_ms,monotone_prediction_ms
p00,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p00.json,1091.376545363557,128,0,0,0,0,1088.9263097196817,"[1088.4450897574425, 1088.614571839571, 1089.826811105013, 1088.9263097196817, 1089.2441663891077]",train,1088.9263097196817,1101.8291534855962
p01,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p01.json,527.7262428767209,0,128,0,0,0,618.8402734696865,"[620.2404163777828, 618.8402734696865, 618.7956836074591, 618.9413834363222, 618.6141148209572]",train,526.5414513801489,618.8402734696865
p02,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p02.json,529.6663221484725,0,0,128,0,0,708.1749029457569,"[706.27168007195, 707.8879959881306, 708.2053665071726, 708.1749029457569, 708.8955044746399]",train,528.4771750045268,708.1749029457569
p03,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p03.json,453.7057550525517,0,0,0,128,0,564.2376132309437,"[564.3978025764227, 564.2348751425743, 564.0459284186363, 564.2376132309437, 564.2564184963703]",train,452.6871460146502,564.2376132309437
p04,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p04.json,1043.4185847781043,0,0,0,0,128,1114.7319972515106,"[1114.7319972515106, 1115.4938507825136, 1112.429091706872, 1114.7091761231422, 1117.7654787898064]",train,1041.0760189434561,1101.8291534855962
p37,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p37.json,1029.0896636911375,98,6,5,3,16,1040.2348041534424,"[1040.5061673372984, 1040.2250420302153, 1040.2348041534424, 1041.5771380066872, 1040.0346983224154]",train,1026.7792675355379,1040.2348041534424
p39,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p39.json,858.3575495629684,47,29,12,6,34,911.1987445503473,"[910.7578601688147, 909.4741251319647, 911.5725364536047, 911.1987445503473, 911.7847234010696]",train,856.4304619119983,911.1987445503473
p42,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p42.json,1002.72505543846,92,13,6,4,13,1012.0050515979528,"[1009.5526725053787, 1012.0050515979528, 1011.4791877567768, 1012.6938708126545, 1012.0219402015209]",holdout,1000.4738501305582,1020.3089385406563
p45,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p45.json,715.5196073537402,22,35,20,12,39,798.2503939419985,"[796.8576513230801, 801.0367807000875, 799.046004191041, 798.2503939419985, 798.1118783354759]",holdout,713.9132033557088,822.9715412193556
p52,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p52.json,1026.5157634656496,106,9,2,3,8,1047.0414832234383,"[1047.0414832234383, 1048.9650126546621, 1045.061506330967, 1047.3499037325382, 1047.0105186104774]",holdout,1024.2111459408104,1038.2894996944397
p60,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p60.json,729.143438893619,33,32,17,18,28,799.2058210074902,"[798.616262152791, 799.2058210074902, 799.3439454585314, 802.2736441344023, 798.9670690149069]",holdout,727.506448204141,831.3866201320396
p68,/root/wja/project/my/cospaq/fake/artifacts/debug/058_llama31_prefill_canonical_sparse_quality_recalibration/llama31_8b_instruct/policies/prefill_only/p68.json,915.7608666236004,61,25,11,9,22,939.3105898052454,"[939.3105898052454, 939.2336942255497, 939.4715130329132, 939.3969755619764, 939.2184633761644]",holdout,913.7049035133434,954.5830713916968
