phase,method,layer_bucket,fused_type,blocks,input_tokens,output_tokens,output_rel_mse,output_mse,output_count,backend
decode,w4a16_ours,0,down_proj,16,2048,64,0.0074644340602127756,1.937150974562485e-05,33554432,canonical_phase_wrapper
decode,w4a16_ours,0,gate_up_proj,16,2048,64,0.0049309955301281615,0.00025260843055950193,180355072,canonical_phase_wrapper
decode,w4a16_ours,0,o_proj,16,2048,64,0.006730299638433913,8.982566244264412e-06,33554432,canonical_phase_wrapper
decode,w4a16_ours,0,qkv_proj,16,2048,64,0.0011934202755133029,0.001426148705110819,100663296,canonical_phase_wrapper
decode,w4a16_ours,1,down_proj,16,2048,64,0.008233394480240457,0.00011341730862568511,33554432,canonical_phase_wrapper
decode,w4a16_ours,1,gate_up_proj,16,2048,64,0.0048764884148525004,0.0007189361620180006,180355072,canonical_phase_wrapper
decode,w4a16_ours,1,o_proj,16,2048,64,0.009918801471867862,8.239162667678102e-05,33554432,canonical_phase_wrapper
decode,w4a16_ours,1,qkv_proj,16,2048,64,0.0019511412397154228,0.002779972289166229,100663296,canonical_phase_wrapper
decode,w4a16_ours,2,down_proj,16,2048,64,0.008680979442695153,0.00037122262165212305,33554432,canonical_phase_wrapper
decode,w4a16_ours,2,gate_up_proj,16,2048,64,0.006091816444476829,0.0014472168377535634,180355072,canonical_phase_wrapper
decode,w4a16_ours,2,o_proj,16,2048,64,0.007801744679859911,0.00011552917735002666,33554432,canonical_phase_wrapper
decode,w4a16_ours,2,qkv_proj,16,2048,64,0.0024081210844383743,0.0035167675238578036,100663296,canonical_phase_wrapper
decode,w4a16_ours,3,down_proj,16,2048,64,0.00557433469374848,0.0016490508069182397,33554432,canonical_phase_wrapper
decode,w4a16_ours,3,gate_up_proj,16,2048,64,0.0043578194465031545,0.002438686226987345,180355072,canonical_phase_wrapper
decode,w4a16_ours,3,o_proj,16,2048,64,0.006164786940176452,0.0003061510954012192,33554432,canonical_phase_wrapper
decode,w4a16_ours,3,qkv_proj,16,2048,64,0.0029228558582162023,0.004450712166847855,100663296,canonical_phase_wrapper
