phase,method,layer_bucket,fused_type,blocks,input_tokens,output_tokens,output_rel_mse,output_mse,output_count,backend
prefill,sparse_bf16,0,down_proj,16,2048,64,0.0021825722800989282,0.00021432076775518283,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,0,gate_up_proj,16,2048,64,0.04903754467482223,0.002550074854530807,5771362304,canonical_phase_wrapper
prefill,sparse_bf16,0,o_proj,16,2048,64,0.054576755160759806,6.412712117542796e-05,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,0,qkv_proj,16,2048,64,0.007427592944214739,0.00856366651409779,3221225472,canonical_phase_wrapper
prefill,sparse_bf16,1,down_proj,16,2048,64,0.09125834951849507,0.0012662183639804425,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,1,gate_up_proj,16,2048,64,0.051377136023908816,0.007691078639296858,5771362304,canonical_phase_wrapper
prefill,sparse_bf16,1,o_proj,16,2048,64,0.08363941359285028,0.0006296537337675545,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,1,qkv_proj,16,2048,64,0.016750317769269316,0.023393680587711668,3221225472,canonical_phase_wrapper
prefill,sparse_bf16,2,down_proj,16,2048,64,0.09944173927601477,0.004494167595112231,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,2,gate_up_proj,16,2048,64,0.06575969863694583,0.016250981562121142,5771362304,canonical_phase_wrapper
prefill,sparse_bf16,2,o_proj,16,2048,64,0.08363355831042985,0.0011707319613378786,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,2,qkv_proj,16,2048,64,0.023127770250488695,0.033200580100431885,3221225472,canonical_phase_wrapper
prefill,sparse_bf16,3,down_proj,16,2048,64,0.030486931559722846,0.012042909402225632,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,3,gate_up_proj,16,2048,64,0.0505694644188406,0.028869785260149213,5771362304,canonical_phase_wrapper
prefill,sparse_bf16,3,o_proj,16,2048,64,0.06471276688831308,0.003188020348716236,1073741824,canonical_phase_wrapper
prefill,sparse_bf16,3,qkv_proj,16,2048,64,0.0326339631627418,0.049011991592124104,3221225472,canonical_phase_wrapper
