benchmark_level,shape_index,m,n,k,gpu,warmup,iters,bias,torch_version,cuda_version,kernel,status,latency_ms,tflops,error_msg
module_forward,0,16384,6144,4096,0,10,40,False,2.9.0+cu128,12.8,dense_bf16,pass,2.026758,406.873222,
module_forward,0,16384,6144,4096,0,10,40,False,2.9.0+cu128,12.8,dense_nvfp4,pass,2.377274,346.882126,
module_forward,0,16384,6144,4096,0,10,40,False,2.9.0+cu128,12.8,sparse_bf16,pass,1.407962,585.693334,
module_forward,0,16384,6144,4096,0,10,40,False,2.9.0+cu128,12.8,sparse_nvfp4,pass,2.130938,386.981493,
module_forward,0,16384,6144,4096,0,10,40,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,2.490668,331.089378,
module_forward,1,16384,4096,4096,0,10,40,False,2.9.0+cu128,12.8,dense_bf16,pass,1.334515,411.951705,
module_forward,1,16384,4096,4096,0,10,40,False,2.9.0+cu128,12.8,dense_nvfp4,pass,2.109897,260.560523,
module_forward,1,16384,4096,4096,0,10,40,False,2.9.0+cu128,12.8,sparse_bf16,pass,0.971310,565.994421,
module_forward,1,16384,4096,4096,0,10,40,False,2.9.0+cu128,12.8,sparse_nvfp4,pass,1.958408,280.715669,
module_forward,1,16384,4096,4096,0,10,40,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,1.539514,357.097080,
module_forward,2,16384,28672,4096,0,10,40,False,2.9.0+cu128,12.8,dense_bf16,pass,9.584270,401.521540,
module_forward,2,16384,28672,4096,0,10,40,False,2.9.0+cu128,12.8,dense_nvfp4,pass,4.927279,781.017385,
module_forward,2,16384,28672,4096,0,10,40,False,2.9.0+cu128,12.8,sparse_bf16,pass,6.963833,552.611011,
module_forward,2,16384,28672,4096,0,10,40,False,2.9.0+cu128,12.8,sparse_nvfp4,pass,3.882670,991.145347,
module_forward,2,16384,28672,4096,0,10,40,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,10.618299,362.420630,
module_forward,3,16384,4096,14336,0,10,40,False,2.9.0+cu128,12.8,dense_bf16,pass,4.670198,412.005054,
module_forward,3,16384,4096,14336,0,10,40,False,2.9.0+cu128,12.8,dense_nvfp4,pass,6.821392,282.075178,
module_forward,3,16384,4096,14336,0,10,40,False,2.9.0+cu128,12.8,sparse_bf16,pass,3.315946,580.270343,
module_forward,3,16384,4096,14336,0,10,40,False,2.9.0+cu128,12.8,sparse_nvfp4,pass,6.470658,297.364691,
module_forward,3,16384,4096,14336,0,10,40,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,5.114185,376.236962,
module_forward,4,8,6144,4096,0,10,40,False,2.9.0+cu128,12.8,dense_bf16,pass,0.035017,11.498857,
module_forward,4,8,6144,4096,0,10,40,False,2.9.0+cu128,12.8,dense_nvfp4,pass,0.139853,2.879121,
module_forward,4,8,6144,4096,0,10,40,False,2.9.0+cu128,12.8,sparse_bf16,pass,0.057314,7.025439,
module_forward,4,8,6144,4096,0,10,40,False,2.9.0+cu128,12.8,sparse_nvfp4,skip,,,M%32!=0
module_forward,4,8,6144,4096,0,10,40,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,0.025393,15.856982,
module_forward,5,8,4096,4096,0,10,40,False,2.9.0+cu128,12.8,dense_bf16,pass,0.034379,7.808077,
module_forward,5,8,4096,4096,0,10,40,False,2.9.0+cu128,12.8,dense_nvfp4,pass,0.139768,1.920579,
module_forward,5,8,4096,4096,0,10,40,False,2.9.0+cu128,12.8,sparse_bf16,pass,0.057909,4.635486,
module_forward,5,8,4096,4096,0,10,40,False,2.9.0+cu128,12.8,sparse_nvfp4,skip,,,M%32!=0
module_forward,5,8,4096,4096,0,10,40,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,0.023486,11.429400,
module_forward,6,8,28672,4096,0,10,40,False,2.9.0+cu128,12.8,dense_bf16,pass,0.171844,10.934616,
module_forward,6,8,28672,4096,0,10,40,False,2.9.0+cu128,12.8,dense_nvfp4,pass,0.203088,9.252384,
module_forward,6,8,28672,4096,0,10,40,False,2.9.0+cu128,12.8,sparse_bf16,pass,0.092462,20.322471,
module_forward,6,8,28672,4096,0,10,40,False,2.9.0+cu128,12.8,sparse_nvfp4,skip,,,M%32!=0
module_forward,6,8,28672,4096,0,10,40,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,0.034576,54.345447,
module_forward,7,8,4096,14336,0,10,40,False,2.9.0+cu128,12.8,dense_bf16,pass,0.079767,11.778326,
module_forward,7,8,4096,14336,0,10,40,False,2.9.0+cu128,12.8,dense_nvfp4,pass,0.177537,5.291996,
module_forward,7,8,4096,14336,0,10,40,False,2.9.0+cu128,12.8,sparse_bf16,pass,0.133809,7.021392,
module_forward,7,8,4096,14336,0,10,40,False,2.9.0+cu128,12.8,sparse_nvfp4,skip,,,M%32!=0
module_forward,7,8,4096,14336,0,10,40,False,2.9.0+cu128,12.8,marlin_nvfp4,pass,0.028999,32.398276,
